Year, Month, Greater Toronto Area, Downtown Toronto, Toronto Airport, GTA West, GTA East/North, London, Windsor, Niagara Falls, Other Niagara Region, Other Southern Ontario, 
2018, Apr, 76.8%, 78.1%, 80.7%, 76.3%, 72.5%, 68.6%, 72.8%, 56.5%, 44.8%, 57.8%, 
2018, May, 79.1%, 84%, 80%, 78.7%, 72.3%, 66.9%, 69.9%, 69.5%, 54.5%, 63.8%, 
2018, Jun, 83.8%, 86.3%, 84.5%, 83.1%, 80.4%, 71.2%, 72.3%, 87.3%, 69.1%, 63%, 
2018, Jul, 82%, 84.9%, 83.5%, 81.7%, 77.4%, 67.2%, 69.4%, 93%, 74.1%, 66.9%, 
2018, Aug, 85.5%, 87.9%, 87.7%, 86.7%, 80.1%, 71%, 70.3%, 94.8%, 76.8%, 70.7%, 
2018, Sep, 85.2%, 87%, 83.8%, 84.8%, 83.9%, 78.5%, 71.3%, 86.5%, 69.4%, 67.4%, 
2018, Oct, 81.1%, 83.8%, 79.4%, 78.9%, 80.1%, 72.5%, 69.2%, 74.2%, 58.2%, 59.7%, 
2018, Nov, 76.8%, 80.3%, 78.9%, 71.6%, 74.6%, 72.4%, 69.8%, 54%, 47.3%, 54.7%, 
2018, Dec, 57.1%, 60.4%, 53.8%, 55.7%, 55.5%, 50.5%, 54.5%, 51.9%, 38.5%, 41.8%, 
2019, Jan, 61.3%, 59.3%, 74.2%, 60.9%, 56.5%, 60%, 47.7%, 38.3%, 35.1%, 46.4%, 
2019, Feb, 68.7%, 67.7%, 80.5%, 66%, 64.7%, 63.9%, 56.1%, 45.5%, 38.1%, 47.5%, 
2019, Mar, 69.3%, 72.6%, 74.6%, 65.2%, 64.4%, 64.1%, 60.2%, 51%, 41.1%, 52.3%, 
2019, Apr, 75.4%, 79%, 78.8%, 73%, 69.8%, 62.2%, 61.1%, 59.9%, 46.3%, 59.5%, 
2019, May, 75.6%, 83.7%, 79.6%, 73.5%, 64.5%, 65%, 65%, 71.1%, 52.1%, 66.3%, 
2019, Jun, 81.9%, 86.4%, 81.5%, 79.1%, 78.6%, 70.3%, 62.2%, 86.3%, 68.3%, 69%, 
2019, Jul, 80.4%, 84.3%, 79.3%, 78.5%, 77.4%, 69.6%, 66.1%, 92.3%, 74%, 68.7%, 
2019, Aug, 83.6%, 85.9%, 82.1%, 82.5%, 82.4%, 65.9%, 63.4%, 95%, 71.4%, 70.1%, 
2019, Sep, 82.5%, 86.1%, 81.5%, 80.8%, 79.3%, 75.2%, 63.9%, 85.1%, 72.8%, 66.3%, 
2019, Oct, 79.8%, 83.1%, 79.8%, 78.4%, 76.3%, 67.3%, 64.9%, 71.8%, 59.9%, 61.8%, 
2019, Nov, 74.7%, 80.2%, 77.2%, 69%, 70.2%, 68.4%, 61.3%, 52.8%, 47%, 58.1%, 
2019, Dec, 59%, 62.2%, 62%, 56.2%, 54.9%, 48.1%, 52.6%, 48.4%, 36.5%, 41.6%, 
2020, Jan, 61.6%, 59.7%, 74.8%, 61.4%, 55.7%, 61.3%, 45.4%, 37.4%, 37.8%, 44.8%, 
2020, Feb, 66.3%, 67.4%, 77.4%, 64.4%, 59.2%, 63%, 54%, 43.5%, 40.3%, 44.5%, 
2020, Mar, 33.8%, 28.5%, 40.5%, 34.9%, 36%, 36.5%, 33.1%, 19%, 23.9%, 31.4%, 
2020, Apr, 13%, 3.1%, 12.7%, 18.6%, 23.5%, 21.2%, 17.7%, 5.3%, 11.3%, 23%, 
2020, May, 18.3%, 6.1%, 21.6%, 22%, 30.4%, 31.9%, 20.8%, 8.7%, 16.5%, 23.6%, 
2020, Jun, 20.6%, 7.9%, 25.4%, 24.4%, 32.9%, 36%, 23.3%, 13%, 21.2%, 27.3%, 
2020, Jul, 23.7%, 11.9%, 20.8%, 29.8%, 36.8%, 33.4%, 33.4%, 30.6%, 31.6%, 33.7%, 
2020, Aug, 29.4%, 18.2%, 24.3%, 34.1%, 44.6%, 41.5%, 34.4%, 49.9%, 43.5%, 40.3%, 
2020, Sep, 30.3%, 16.6%, 26.8%, 40.7%, 43%, 43.3%, 30.9%, 35.5%, 44.6%, 40%, 
2020, Oct, 24.9%, 11.1%, 22%, 33.3%, 39.9%, 39.2%, 28.5%, 24.3%, 31.9%, 32.4%, 
2020, Nov, 24.7%, 10.4%, 22%, 32.5%, 41.8%, 39.1%, 36.1%, 24.1%, 31.1%, 34.8%, 
2020, Dec, 23%, 9.1%, 23.6%, 29%, 39.2%, 30.3%, 30.8%, 20.4%, 25%, 27.9%, 
2021, Jan, 24.3%, 10.9%, 24.6%, 28.9%, 38.9%, 31.5%, 36.7%, 7.8%, 20.6%, 30.3%, 
2021, Feb, 28.8%, 12.5%, 28.4%, 35.4%, 45.8%, 36.8%, 35.5%, 11.9%, 26.5%, 37.6%, 
2021, Mar, 34.5%, 13%, 55%, 37.6%, 47.7%, 39.6%, 37.6%, 17.1%, 36.3%, 40.6%, 
2021, Apr, 35.9%, 11.6%, 60.8%, 41.2%, 47.1%, 35.9%, 31.1%, 10.4%, 32%, 40.2%, 
2021, May, 32.1%, 12.8%, 44%, 35.3%, 48.7%, 34.4%, 32.1%, 12.3%, 31.5%, 37.4%, 
2021, Jun, 36.6%, 16.9%, 47.8%, 40.3%, 53.7%, 42.3%, 37.7%, 23.1%, 37.2%, 43.4%, 
2021, Jul, 46.1%, 30%, 48.7%, 50.1%, 64.3%, 52.7%, 52.7%, 53.4%, 51.5%, 51.9%, 
2021, Aug, 61.1%, 50%, 56%, 64.8%, 78%, 74.8%, 61.3%, 66.6%, 69.6%, 57.9%, 
2021, Sep, 60.6%, 55.2%, 57.5%, 63.3%, 68.3%, 71.6%, 53.8%, 51.1%, 60.6%, 59.2%, 
2021, Oct, 56.1%, 49.9%, 51.2%, 59.5%, 67%, 63.5%, 51.3%, 44.7%, 51.9%, 55.1%, 
2021, Nov, 56%, 51%, 56.7%, 58.5%, 61.5%, 62.7%, 45.7%, 41.2%, 45.8%, 52.3%, 
2021, Dec, 50.5%, 44.5%, 56.4%, 50.8%, 55.8%, 50.2%, 39.3%, 40%, 35.5%, 41.2%, 
2022, Jan, 34.5%, 21.1%, 47.9%, 39.1%, 42.4%, 36.6%, 29.6%, 14.1%, 27.9%, 36%, 
2022, Feb, 43.8%, 33.1%, 52.8%, 45.8%, 53.5%, 53%, 49.9%, 30.1%, 42.8%, 46.1%, 
2022, Mar, 55.8%, 50.9%, 62.3%, 55.3%, 59.7%, 60.5%, 43.9%, 41.6%, 52.7%, 55.1%, 
2022, Apr, 64.7%, 61.4%, 72.5%, 62.4%, 67.2%, 65.2%, 51.1%, 48.4%, 55.5%, 60.7%, 
2022, May, 70.7%, 66.7%, 75%, 70.7%, 74%, 67.6%, 55.4%, 56%, 57%, 65.1%, 
2022, Jun, 84.1%, 82.9%, 88.6%, 84.1%, 82.7%, 76.6%, 61.9%, 68.6%, 66.1%, 66.7%, 
2022, Jul, 79.8%, 74.4%, 84.6%, 82.1%, 82.6%, 73%, 53.6%, 79.8%, 74.6%, 66.9%, 
2022, Aug, 80.1%, 77.3%, 83.1%, 81.4%, 81.1%, 73.1%, 58.4%, 81.5%, 75.7%, 67.9%, 
