"Year","Month","GEO","Value","Type"
2016," Mar","Moncton"," 55.8%","Hotel Occupancy Rate"
2016," Mar","Halifax/Dartmouth"," 59.9%","Hotel Occupancy Rate"
2016," Mar","St. Johns"," 49%","Hotel Occupancy Rate"
2016," Apr","Montreal Airport/Laval"," 69.2%","Hotel Occupancy Rate"
2016," Apr","Greater Quebec City"," 55.7%","Hotel Occupancy Rate"
2016," Apr","Moncton"," 64%","Hotel Occupancy Rate"
2016," Apr","Halifax/Dartmouth"," 69.4%","Hotel Occupancy Rate"
2016," Apr","St. Johns"," 57.6%","Hotel Occupancy Rate"
2016," May","Montreal Airport/Laval"," 75.1%","Hotel Occupancy Rate"
2016," May","Greater Quebec City"," 66%","Hotel Occupancy Rate"
2016," May","Moncton"," 64.2%","Hotel Occupancy Rate"
2016," May","Halifax/Dartmouth"," 68.8%","Hotel Occupancy Rate"
2016," May","St. Johns"," 63.7%","Hotel Occupancy Rate"
2016," Jun","Montreal Airport/Laval"," 80.9%","Hotel Occupancy Rate"
2016," Jun","Greater Quebec City"," 75.7%","Hotel Occupancy Rate"
2016," Jun","Moncton"," 69.5%","Hotel Occupancy Rate"
2016," Jun","Halifax/Dartmouth"," 80.9%","Hotel Occupancy Rate"
2016," Jun","St. Johns"," 83.8%","Hotel Occupancy Rate"
2016," Jul","Montreal Airport/Laval"," 82.7%","Hotel Occupancy Rate"
2016," Jul","Greater Quebec City"," 82.8%","Hotel Occupancy Rate"
2016," Jul","Moncton"," 81.5%","Hotel Occupancy Rate"
2016," Jul","Halifax/Dartmouth"," 86.4%","Hotel Occupancy Rate"
2016," Jul","St. Johns"," 80.1%","Hotel Occupancy Rate"
2016," Aug","Montreal Airport/Laval"," 85.6%","Hotel Occupancy Rate"
2016," Aug","Greater Quebec City"," 87.4%","Hotel Occupancy Rate"
2016," Aug","Moncton"," 87.7%","Hotel Occupancy Rate"
2016," Aug","Halifax/Dartmouth"," 90.9%","Hotel Occupancy Rate"
2016," Aug","St. Johns"," 78%","Hotel Occupancy Rate"
2016," Sep","Montreal Airport/Laval"," 83.4%","Hotel Occupancy Rate"
2016," Sep","Greater Quebec City"," 79.9%","Hotel Occupancy Rate"
2016," Sep","Moncton"," 71.9%","Hotel Occupancy Rate"
2016," Sep","Halifax/Dartmouth"," 89.1%","Hotel Occupancy Rate"
2016," Sep","St. Johns"," 77.3%","Hotel Occupancy Rate"
2016," Oct","Montreal Airport/Laval"," 77.9%","Hotel Occupancy Rate"
2016," Oct","Greater Quebec City"," 70.8%","Hotel Occupancy Rate"
2016," Oct","Moncton"," 63.6%","Hotel Occupancy Rate"
2016," Oct","Halifax/Dartmouth"," 68.6%","Hotel Occupancy Rate"
2016," Oct","St. Johns"," 62.4%","Hotel Occupancy Rate"
2016," Nov","Montreal Airport/Laval"," 68.7%","Hotel Occupancy Rate"
2016," Nov","Greater Quebec City"," 54.2%","Hotel Occupancy Rate"
2016," Nov","Moncton"," 64.4%","Hotel Occupancy Rate"
2016," Nov","Halifax/Dartmouth"," 61.8%","Hotel Occupancy Rate"
2016," Nov","St. Johns"," 59.7%","Hotel Occupancy Rate"
2016," Dec","Montreal Airport/Laval"," 62.5%","Hotel Occupancy Rate"
2016," Dec","Greater Quebec City"," 54.4%","Hotel Occupancy Rate"
2016," Dec","Moncton"," 43%","Hotel Occupancy Rate"
2016," Dec","Halifax/Dartmouth"," 43.2%","Hotel Occupancy Rate"
2016," Dec","St. Johns"," 38%","Hotel Occupancy Rate"
2017," Jan","Montreal Airport/Laval"," 66.3%","Hotel Occupancy Rate"
2017," Jan","Greater Quebec City"," 49.1%","Hotel Occupancy Rate"
2017," Jan","Moncton"," 47.8%","Hotel Occupancy Rate"
2017," Jan","Halifax/Dartmouth"," 44.6%","Hotel Occupancy Rate"
2017," Jan","St. Johns"," 37.9%","Hotel Occupancy Rate"
2017," Feb","Montreal Airport/Laval"," 72.7%","Hotel Occupancy Rate"
2017," Feb","Greater Quebec City"," 65.7%","Hotel Occupancy Rate"
2017," Feb","Moncton"," 52.2%","Hotel Occupancy Rate"
2017," Feb","Halifax/Dartmouth"," 55.8%","Hotel Occupancy Rate"
2017," Feb","St. Johns"," 45.5%","Hotel Occupancy Rate"
2017," Mar","Montreal Airport/Laval"," 69.8%","Hotel Occupancy Rate"
2017," Mar","Greater Quebec City"," 54.9%","Hotel Occupancy Rate"
2017," Mar","Moncton"," 64.7%","Hotel Occupancy Rate"
2017," Mar","Halifax/Dartmouth"," 70%","Hotel Occupancy Rate"
2017," Mar","St. Johns"," 62.9%","Hotel Occupancy Rate"
2017," Apr","Montreal Airport/Laval"," 74.3%","Hotel Occupancy Rate"
2017," Apr","Greater Quebec City"," 53.7%","Hotel Occupancy Rate"
2017," Apr","Moncton"," 61.6%","Hotel Occupancy Rate"
2017," Apr","Halifax/Dartmouth"," 69.3%","Hotel Occupancy Rate"
2017," Apr","St. Johns"," 57.8%","Hotel Occupancy Rate"
2017," May","Montreal Airport/Laval"," 83.1%","Hotel Occupancy Rate"
2017," May","Greater Quebec City"," 66.5%","Hotel Occupancy Rate"
2017," May","Moncton"," 69.6%","Hotel Occupancy Rate"
2017," May","Halifax/Dartmouth"," 77.9%","Hotel Occupancy Rate"
2017," May","St. Johns"," 70%","Hotel Occupancy Rate"
2017," Jun","Montreal Airport/Laval"," 87.3%","Hotel Occupancy Rate"
2017," Jun","Greater Quebec City"," 73.5%","Hotel Occupancy Rate"
2017," Jun","Moncton"," 69%","Hotel Occupancy Rate"
2017," Jun","Halifax/Dartmouth"," 84.4%","Hotel Occupancy Rate"
2017," Jun","St. Johns"," 76.7%","Hotel Occupancy Rate"
2017," Jul","Montreal Airport/Laval"," 86.7%","Hotel Occupancy Rate"
2017," Jul","Greater Quebec City"," 88.3%","Hotel Occupancy Rate"
2017," Jul","Moncton"," 86.2%","Hotel Occupancy Rate"
2017," Jul","Halifax/Dartmouth"," 91.4%","Hotel Occupancy Rate"
2017," Jul","St. Johns"," 80.9%","Hotel Occupancy Rate"
2017," Aug","Montreal Airport/Laval"," 89.7%","Hotel Occupancy Rate"
2017," Aug","Greater Quebec City"," 90.1%","Hotel Occupancy Rate"
2017," Aug","Moncton"," 90.7%","Hotel Occupancy Rate"
2017," Aug","Halifax/Dartmouth"," 94.4%","Hotel Occupancy Rate"
2017," Aug","St. Johns"," 81.1%","Hotel Occupancy Rate"
2017," Sep","Montreal Airport/Laval"," 83.2%","Hotel Occupancy Rate"
2017," Sep","Greater Quebec City"," 81.2%","Hotel Occupancy Rate"
2017," Sep","Moncton"," 72.2%","Hotel Occupancy Rate"
2017," Sep","Halifax/Dartmouth"," 87.7%","Hotel Occupancy Rate"
2017," Sep","St. Johns"," 82.1%","Hotel Occupancy Rate"
2017," Oct","Montreal Airport/Laval"," 83.2%","Hotel Occupancy Rate"
2017," Oct","Greater Quebec City"," 73.7%","Hotel Occupancy Rate"
2017," Oct","Moncton"," 63.3%","Hotel Occupancy Rate"
2017," Oct","Halifax/Dartmouth"," 74.7%","Hotel Occupancy Rate"
2017," Oct","St. Johns"," 63.7%","Hotel Occupancy Rate"
2017," Nov","Montreal Airport/Laval"," 76.3%","Hotel Occupancy Rate"
2017," Nov","Greater Quebec City"," 58.1%","Hotel Occupancy Rate"
2017," Nov","Moncton"," 66.3%","Hotel Occupancy Rate"
2017," Nov","Halifax/Dartmouth"," 67.3%","Hotel Occupancy Rate"
2017," Nov","St. Johns"," 56.8%","Hotel Occupancy Rate"
2017," Dec","Montreal Airport/Laval"," 65.8%","Hotel Occupancy Rate"
2017," Dec","Greater Quebec City"," 56.3%","Hotel Occupancy Rate"
2017," Dec","Moncton"," 45.8%","Hotel Occupancy Rate"
2017," Dec","Halifax/Dartmouth"," 45.2%","Hotel Occupancy Rate"
2017," Dec","St. Johns"," 36.3%","Hotel Occupancy Rate"
2018," Jan","Montreal Airport/Laval"," 71.2%","Hotel Occupancy Rate"
2018," Jan","Greater Quebec City"," 47.9%","Hotel Occupancy Rate"
2018," Jan","Moncton"," 48%","Hotel Occupancy Rate"
2018," Jan","Halifax/Dartmouth"," 44.7%","Hotel Occupancy Rate"
2018," Jan","St. Johns"," 34.1%","Hotel Occupancy Rate"
2018," Feb","Montreal Airport/Laval"," 75.5%","Hotel Occupancy Rate"
2018," Feb","Greater Quebec City"," 64.5%","Hotel Occupancy Rate"
2018," Feb","Moncton"," 55.8%","Hotel Occupancy Rate"
2018," Feb","Halifax/Dartmouth"," 51.3%","Hotel Occupancy Rate"
2018," Feb","St. Johns"," 40.9%","Hotel Occupancy Rate"
2018," Mar","Montreal Airport/Laval"," 71.1%","Hotel Occupancy Rate"
2018," Mar","Greater Quebec City"," 59.2%","Hotel Occupancy Rate"
2018," Mar","Moncton"," 60.6%","Hotel Occupancy Rate"
2018," Mar","Halifax/Dartmouth"," 70.1%","Hotel Occupancy Rate"
2018," Mar","St. Johns"," 40.8%","Hotel Occupancy Rate"
2018," Apr","Montreal Airport/Laval"," 75.2%","Hotel Occupancy Rate"
2018," Apr","Greater Quebec City"," 55%","Hotel Occupancy Rate"
2018," Apr","Moncton"," 59.3%","Hotel Occupancy Rate"
2018," Apr","Halifax/Dartmouth"," 70%","Hotel Occupancy Rate"
2018," Apr","St. Johns"," 45.7%","Hotel Occupancy Rate"
2018," May","Montreal Airport/Laval"," 77.2%","Hotel Occupancy Rate"
2018," May","Greater Quebec City"," 72.4%","Hotel Occupancy Rate"
2018," May","Moncton"," 68.6%","Hotel Occupancy Rate"
2018," May","Halifax/Dartmouth"," 72.8%","Hotel Occupancy Rate"
2018," May","St. Johns"," 49.1%","Hotel Occupancy Rate"
2018," Jun","Montreal Airport/Laval"," 85.2%","Hotel Occupancy Rate"
2018," Jun","Greater Quebec City"," 80.8%","Hotel Occupancy Rate"
2018," Jun","Moncton"," 66.6%","Hotel Occupancy Rate"
2018," Jun","Halifax/Dartmouth"," 82.6%","Hotel Occupancy Rate"
2018," Jun","St. Johns"," 66.4%","Hotel Occupancy Rate"
2018," Jul","Montreal Airport/Laval"," 81.5%","Hotel Occupancy Rate"
2018," Jul","Greater Quebec City"," 86.3%","Hotel Occupancy Rate"
2018," Jul","Moncton"," 77.3%","Hotel Occupancy Rate"
2018," Jul","Halifax/Dartmouth"," 81.6%","Hotel Occupancy Rate"
2018," Jul","St. Johns"," 69.1%","Hotel Occupancy Rate"
2018," Aug","Montreal Airport/Laval"," 84.9%","Hotel Occupancy Rate"
2018," Aug","Greater Quebec City"," 92%","Hotel Occupancy Rate"
2018," Aug","Moncton"," 87.5%","Hotel Occupancy Rate"
2018," Aug","Halifax/Dartmouth"," 92.7%","Hotel Occupancy Rate"
2018," Aug","St. Johns"," 65.4%","Hotel Occupancy Rate"
2018," Sep","Montreal Airport/Laval"," 81.2%","Hotel Occupancy Rate"
2018," Sep","Greater Quebec City"," 82%","Hotel Occupancy Rate"
2018," Sep","Moncton"," 73.1%","Hotel Occupancy Rate"
2018," Sep","Halifax/Dartmouth"," 87.2%","Hotel Occupancy Rate"
2018," Sep","St. Johns"," 73.2%","Hotel Occupancy Rate"
2018," Oct","Montreal Airport/Laval"," 80.4%","Hotel Occupancy Rate"
2018," Oct","Greater Quebec City"," 73.5%","Hotel Occupancy Rate"
2018," Oct","Moncton"," 67.7%","Hotel Occupancy Rate"
2018," Oct","Halifax/Dartmouth"," 76.8%","Hotel Occupancy Rate"
2018," Oct","St. Johns"," 54.1%","Hotel Occupancy Rate"
2018," Nov","Montreal Airport/Laval"," 72.2%","Hotel Occupancy Rate"
2018," Nov","Greater Quebec City"," 57.1%","Hotel Occupancy Rate"
2018," Nov","Moncton"," 68.9%","Hotel Occupancy Rate"
2018," Nov","Halifax/Dartmouth"," 64.5%","Hotel Occupancy Rate"
2018," Nov","St. Johns"," 50.7%","Hotel Occupancy Rate"
2018," Dec","Montreal Airport/Laval"," 62%","Hotel Occupancy Rate"
2018," Dec","Greater Quebec City"," 58.4%","Hotel Occupancy Rate"
2018," Dec","Moncton"," 41.4%","Hotel Occupancy Rate"
2018," Dec","Halifax/Dartmouth"," 44%","Hotel Occupancy Rate"
2018," Dec","St. Johns"," 36.3%","Hotel Occupancy Rate"
2019," Jan","Montreal Airport/Laval"," 64.7%","Hotel Occupancy Rate"
2019," Jan","Greater Quebec City"," 47%","Hotel Occupancy Rate"
2019," Jan","Moncton"," 43.2%","Hotel Occupancy Rate"
2019," Jan","Halifax/Dartmouth"," 43.9%","Hotel Occupancy Rate"
2019," Jan","St. Johns"," 33.4%","Hotel Occupancy Rate"
2019," Feb","Montreal Airport/Laval"," 75.5%","Hotel Occupancy Rate"
2019," Feb","Greater Quebec City"," 63.3%","Hotel Occupancy Rate"
2019," Feb","Moncton"," 51.6%","Hotel Occupancy Rate"
2019," Feb","Halifax/Dartmouth"," 52.2%","Hotel Occupancy Rate"
2019," Feb","St. Johns"," 37.3%","Hotel Occupancy Rate"
2019," Mar","Montreal Airport/Laval"," 69.9%","Hotel Occupancy Rate"
2019," Mar","Greater Quebec City"," 59.3%","Hotel Occupancy Rate"
2019," Mar","Moncton"," 60.6%","Hotel Occupancy Rate"
2019," Mar","Halifax/Dartmouth"," 65.5%","Hotel Occupancy Rate"
2019," Mar","St. Johns"," 45.2%","Hotel Occupancy Rate"
2019," Apr","Montreal Airport/Laval"," 75.7%","Hotel Occupancy Rate"
2019," Apr","Greater Quebec City"," 58.5%","Hotel Occupancy Rate"
2019," Apr","Moncton"," 56.7%","Hotel Occupancy Rate"
2019," Apr","Halifax/Dartmouth"," 65.9%","Hotel Occupancy Rate"
2019," Apr","St. Johns"," 48.8%","Hotel Occupancy Rate"
2019," May","Montreal Airport/Laval"," 83.2%","Hotel Occupancy Rate"
2019," May","Greater Quebec City"," 70.7%","Hotel Occupancy Rate"
2019," May","Moncton"," 66.4%","Hotel Occupancy Rate"
2019," May","Halifax/Dartmouth"," 77.6%","Hotel Occupancy Rate"
2019," May","St. Johns"," 57.3%","Hotel Occupancy Rate"
2019," Jun","Montreal Airport/Laval"," 85.9%","Hotel Occupancy Rate"
2019," Jun","Greater Quebec City"," 80%","Hotel Occupancy Rate"
2019," Jun","Moncton"," 66.4%","Hotel Occupancy Rate"
2019," Jun","Halifax/Dartmouth"," 83%","Hotel Occupancy Rate"
2019," Jun","St. Johns"," 74.3%","Hotel Occupancy Rate"
2019," Jul","Montreal Airport/Laval"," 83.2%","Hotel Occupancy Rate"
2019," Jul","Greater Quebec City"," 83.1%","Hotel Occupancy Rate"
2019," Jul","Moncton"," 83.9%","Hotel Occupancy Rate"
2019," Jul","Halifax/Dartmouth"," 86.2%","Hotel Occupancy Rate"
2019," Jul","St. Johns"," 68%","Hotel Occupancy Rate"
2019," Aug","Montreal Airport/Laval"," 87.5%","Hotel Occupancy Rate"
2019," Aug","Greater Quebec City"," 91.3%","Hotel Occupancy Rate"
2019," Aug","Moncton"," 90.4%","Hotel Occupancy Rate"
2019," Aug","Halifax/Dartmouth"," 93.2%","Hotel Occupancy Rate"
2019," Aug","St. Johns"," 75%","Hotel Occupancy Rate"
2019," Sep","Montreal Airport/Laval"," 84.2%","Hotel Occupancy Rate"
2019," Sep","Greater Quebec City"," 81.3%","Hotel Occupancy Rate"
2019," Sep","Moncton"," 69.1%","Hotel Occupancy Rate"
2019," Sep","Halifax/Dartmouth"," 88.4%","Hotel Occupancy Rate"
2019," Sep","St. Johns"," 73.1%","Hotel Occupancy Rate"
2019," Oct","Montreal Airport/Laval"," 81.8%","Hotel Occupancy Rate"
2019," Oct","Greater Quebec City"," 77.5%","Hotel Occupancy Rate"
2019," Oct","Moncton"," 63.4%","Hotel Occupancy Rate"
2019," Oct","Halifax/Dartmouth"," 76.1%","Hotel Occupancy Rate"
2019," Oct","St. Johns"," 58.3%","Hotel Occupancy Rate"
2019," Nov","Montreal Airport/Laval"," 75%","Hotel Occupancy Rate"
2019," Nov","Greater Quebec City"," 60.4%","Hotel Occupancy Rate"
2019," Nov","Moncton"," 67.3%","Hotel Occupancy Rate"
2019," Nov","Halifax/Dartmouth"," 64.7%","Hotel Occupancy Rate"
2019," Nov","St. Johns"," 56.5%","Hotel Occupancy Rate"
2019," Dec","Montreal Airport/Laval"," 64.6%","Hotel Occupancy Rate"
2019," Dec","Greater Quebec City"," 56.4%","Hotel Occupancy Rate"
2019," Dec","Moncton"," 41.5%","Hotel Occupancy Rate"
2019," Dec","Halifax/Dartmouth"," 44.7%","Hotel Occupancy Rate"
2019," Dec","St. Johns"," 39.1%","Hotel Occupancy Rate"
2020," Jan","Montreal Airport/Laval"," 66.2%","Hotel Occupancy Rate"
2020," Jan","Greater Quebec City"," 48.1%","Hotel Occupancy Rate"
2020," Jan","Moncton"," 45.3%","Hotel Occupancy Rate"
2020," Jan","Halifax/Dartmouth"," 47.5%","Hotel Occupancy Rate"
2020," Jan","St. Johns"," 32.2%","Hotel Occupancy Rate"
2020," Feb","Montreal Airport/Laval"," 73.9%","Hotel Occupancy Rate"
2020," Feb","Greater Quebec City"," 66.6%","Hotel Occupancy Rate"
2020," Feb","Moncton"," 49.8%","Hotel Occupancy Rate"
2020," Feb","Halifax/Dartmouth"," 55.5%","Hotel Occupancy Rate"
2020," Feb","St. Johns"," 39.9%","Hotel Occupancy Rate"
2020," Mar","Montreal Airport/Laval"," 37.7%","Hotel Occupancy Rate"
2020," Mar","Greater Quebec City"," 29.2%","Hotel Occupancy Rate"
2020," Mar","Moncton"," 29.1%","Hotel Occupancy Rate"
2020," Mar","Halifax/Dartmouth"," 34.2%","Hotel Occupancy Rate"
2020," Mar","St. Johns"," 25.5%","Hotel Occupancy Rate"
2020," Apr","Montreal Airport/Laval"," 11.6%","Hotel Occupancy Rate"
2020," Apr","Greater Quebec City"," 3.2%","Hotel Occupancy Rate"
2020," Apr","Moncton"," 9.5%","Hotel Occupancy Rate"
2020," Apr","Halifax/Dartmouth"," 15%","Hotel Occupancy Rate"
2020," Apr","St. Johns"," 6.3%","Hotel Occupancy Rate"
2020," May","Montreal Airport/Laval"," 20.6%","Hotel Occupancy Rate"
2020," May","Greater Quebec City"," 5.9%","Hotel Occupancy Rate"
2020," May","Moncton"," 18.3%","Hotel Occupancy Rate"
2020," May","Halifax/Dartmouth"," 17.4%","Hotel Occupancy Rate"
2020," May","St. Johns"," 8.8%","Hotel Occupancy Rate"
2020," Jun","Montreal Airport/Laval"," 24.4%","Hotel Occupancy Rate"
2020," Jun","Greater Quebec City"," 13.1%","Hotel Occupancy Rate"
2020," Jun","Moncton"," 20.8%","Hotel Occupancy Rate"
2020," Jun","Halifax/Dartmouth"," 17.5%","Hotel Occupancy Rate"
2020," Jun","St. Johns"," 14.4%","Hotel Occupancy Rate"
2020," Jul","Montreal Airport/Laval"," 25.5%","Hotel Occupancy Rate"
2020," Jul","Greater Quebec City"," 31.6%","Hotel Occupancy Rate"
2020," Jul","Moncton"," 28.1%","Hotel Occupancy Rate"
2020," Jul","Halifax/Dartmouth"," 25.1%","Hotel Occupancy Rate"
2020," Jul","St. Johns"," 23.2%","Hotel Occupancy Rate"
2020," Aug","Montreal Airport/Laval"," 28.5%","Hotel Occupancy Rate"
2020," Aug","Greater Quebec City"," 48.5%","Hotel Occupancy Rate"
2020," Aug","Moncton"," 43.1%","Hotel Occupancy Rate"
2020," Aug","Halifax/Dartmouth"," 32.6%","Hotel Occupancy Rate"
2020," Aug","St. Johns"," 31.9%","Hotel Occupancy Rate"
2020," Sep","Montreal Airport/Laval"," 30.7%","Hotel Occupancy Rate"
2020," Sep","Greater Quebec City"," 31.9%","Hotel Occupancy Rate"
2020," Sep","Moncton"," 32.9%","Hotel Occupancy Rate"
2020," Sep","Halifax/Dartmouth"," 30.3%","Hotel Occupancy Rate"
2020," Sep","St. Johns"," 27.3%","Hotel Occupancy Rate"
2020," Oct","Montreal Airport/Laval"," 25.3%","Hotel Occupancy Rate"
2020," Oct","Greater Quebec City"," 12.9%","Hotel Occupancy Rate"
2020," Oct","Moncton"," 18.8%","Hotel Occupancy Rate"
2020," Oct","Halifax/Dartmouth"," 28.4%","Hotel Occupancy Rate"
2020," Oct","St. Johns"," 24.8%","Hotel Occupancy Rate"
2020," Nov","Montreal Airport/Laval"," 24.1%","Hotel Occupancy Rate"
2020," Nov","Greater Quebec City"," 16.4%","Hotel Occupancy Rate"
2020," Nov","Moncton"," 18.9%","Hotel Occupancy Rate"
2020," Nov","Halifax/Dartmouth"," 27.4%","Hotel Occupancy Rate"
2020," Nov","St. Johns"," 28.2%","Hotel Occupancy Rate"
2020," Dec","Montreal Airport/Laval"," 22.6%","Hotel Occupancy Rate"
2020," Dec","Greater Quebec City"," 14.7%","Hotel Occupancy Rate"
2020," Dec","Moncton"," 12.8%","Hotel Occupancy Rate"
2020," Dec","Halifax/Dartmouth"," 15.3%","Hotel Occupancy Rate"
2020," Dec","St. Johns"," 18.9%","Hotel Occupancy Rate"
2021," Jan","Montreal Airport/Laval"," 21.3%","Hotel Occupancy Rate"
2021," Jan","Greater Quebec City"," 9.8%","Hotel Occupancy Rate"
2021," Jan","Moncton"," 11.8%","Hotel Occupancy Rate"
2021," Jan","Halifax/Dartmouth"," 19.8%","Hotel Occupancy Rate"
2021," Jan","St. Johns"," 18.4%","Hotel Occupancy Rate"
2021," Feb","Montreal Airport/Laval"," 23.7%","Hotel Occupancy Rate"
2021," Feb","Greater Quebec City"," 16.1%","Hotel Occupancy Rate"
2021," Feb","Moncton"," 14.2%","Hotel Occupancy Rate"
2021," Feb","Halifax/Dartmouth"," 26%","Hotel Occupancy Rate"
2021," Feb","St. Johns"," 13.3%","Hotel Occupancy Rate"
2021," Mar","Montreal Airport/Laval"," 36.3%","Hotel Occupancy Rate"
2021," Mar","Greater Quebec City"," 19.7%","Hotel Occupancy Rate"
2021," Mar","Moncton"," 26.5%","Hotel Occupancy Rate"
2021," Mar","Halifax/Dartmouth"," 26.9%","Hotel Occupancy Rate"
2021," Mar","St. Johns"," 14%","Hotel Occupancy Rate"
2021," Apr","Montreal Airport/Laval"," 37.9%","Hotel Occupancy Rate"
2021," Apr","Greater Quebec City"," 11.8%","Hotel Occupancy Rate"
2021," Apr","Moncton"," 29.1%","Hotel Occupancy Rate"
2021," Apr","Halifax/Dartmouth"," 26.9%","Hotel Occupancy Rate"
2021," Apr","St. Johns"," 28.8%","Hotel Occupancy Rate"
2021," May","Montreal Airport/Laval"," 39.2%","Hotel Occupancy Rate"
2021," May","Greater Quebec City"," 16.8%","Hotel Occupancy Rate"
2021," May","Moncton"," 23.2%","Hotel Occupancy Rate"
2021," May","Halifax/Dartmouth"," 17%","Hotel Occupancy Rate"
2021," May","St. Johns"," 29.9%","Hotel Occupancy Rate"
2021," Jun","Montreal Airport/Laval"," 47.4%","Hotel Occupancy Rate"
2021," Jun","Greater Quebec City"," 28.5%","Hotel Occupancy Rate"
2021," Jun","Moncton"," 23.3%","Hotel Occupancy Rate"
2021," Jun","Halifax/Dartmouth"," 21.7%","Hotel Occupancy Rate"
2021," Jun","St. Johns"," 28.7%","Hotel Occupancy Rate"
2021," Jul","Montreal Airport/Laval"," 54.3%","Hotel Occupancy Rate"
2021," Jul","Greater Quebec City"," 56.1%","Hotel Occupancy Rate"
2021," Jul","Moncton"," 53.7%","Hotel Occupancy Rate"
2021," Jul","Halifax/Dartmouth"," 47.1%","Hotel Occupancy Rate"
2021," Jul","St. Johns"," 47.4%","Hotel Occupancy Rate"
2021," Aug","Montreal Airport/Laval"," 55.4%","Hotel Occupancy Rate"
2021," Aug","Greater Quebec City"," 64.5%","Hotel Occupancy Rate"
2021," Aug","Moncton"," 70.8%","Hotel Occupancy Rate"
2021," Aug","Halifax/Dartmouth"," 76.9%","Hotel Occupancy Rate"
2021," Aug","St. Johns"," 61.1%","Hotel Occupancy Rate"
2021," Sep","Montreal Airport/Laval"," 48.8%","Hotel Occupancy Rate"
2021," Sep","Greater Quebec City"," 46.3%","Hotel Occupancy Rate"
2021," Sep","Moncton"," 51.6%","Hotel Occupancy Rate"
2021," Sep","Halifax/Dartmouth"," 73.5%","Hotel Occupancy Rate"
2021," Sep","St. Johns"," 59.2%","Hotel Occupancy Rate"
2021," Oct","Montreal Airport/Laval"," 48.6%","Hotel Occupancy Rate"
2021," Oct","Greater Quebec City"," 45.2%","Hotel Occupancy Rate"
2021," Oct","Moncton"," 29.1%","Hotel Occupancy Rate"
2021," Oct","Halifax/Dartmouth"," 59.1%","Hotel Occupancy Rate"
2021," Oct","St. Johns"," 45.3%","Hotel Occupancy Rate"
2021," Nov","Montreal Airport/Laval"," 49.9%","Hotel Occupancy Rate"
2021," Nov","Greater Quebec City"," 42%","Hotel Occupancy Rate"
2021," Nov","Moncton"," 35.6%","Hotel Occupancy Rate"
2021," Nov","Halifax/Dartmouth"," 51.2%","Hotel Occupancy Rate"
2021," Nov","St. Johns"," 43.3%","Hotel Occupancy Rate"
2021," Dec","Montreal Airport/Laval"," 55.7%","Hotel Occupancy Rate"
2021," Dec","Greater Quebec City"," 37.9%","Hotel Occupancy Rate"
2021," Dec","Moncton"," 28.6%","Hotel Occupancy Rate"
2021," Dec","Halifax/Dartmouth"," 38%","Hotel Occupancy Rate"
2021," Dec","St. Johns"," 33.9%","Hotel Occupancy Rate"
2022," Jan","Montreal Airport/Laval"," 43.5%","Hotel Occupancy Rate"
2022," Jan","Greater Quebec City"," 13.3%","Hotel Occupancy Rate"
2022," Jan","Moncton"," 15.5%","Hotel Occupancy Rate"
2022," Jan","Halifax/Dartmouth"," 26.3%","Hotel Occupancy Rate"
2022," Jan","St. Johns"," 22.9%","Hotel Occupancy Rate"
2022," Feb","Montreal Airport/Laval"," 48.7%","Hotel Occupancy Rate"
2022," Feb","Greater Quebec City"," 33.4%","Hotel Occupancy Rate"
2022," Feb","Moncton"," 28.9%","Hotel Occupancy Rate"
2022," Feb","Halifax/Dartmouth"," 38.4%","Hotel Occupancy Rate"
2022," Feb","St. Johns"," 29%","Hotel Occupancy Rate"
2022," Mar","Montreal Airport/Laval"," 66%","Hotel Occupancy Rate"
2022," Mar","Greater Quebec City"," 42.3%","Hotel Occupancy Rate"
2022," Mar","Moncton"," 44.1%","Hotel Occupancy Rate"
2022," Mar","Halifax/Dartmouth"," 57.1%","Hotel Occupancy Rate"
2022," Mar","St. Johns"," 36.1%","Hotel Occupancy Rate"
2022," Apr","Montreal Airport/Laval"," 67.6%","Hotel Occupancy Rate"
2022," Apr","Greater Quebec City"," 46.1%","Hotel Occupancy Rate"
2022," Apr","Moncton"," 52.7%","Hotel Occupancy Rate"
2022," Apr","Halifax/Dartmouth"," 60.5%","Hotel Occupancy Rate"
2022," Apr","St. Johns"," 47.3%","Hotel Occupancy Rate"
2022," May","Montreal Airport/Laval"," 75.6%","Hotel Occupancy Rate"
2022," May","Greater Quebec City"," 57.5%","Hotel Occupancy Rate"
2022," May","Moncton"," 52.9%","Hotel Occupancy Rate"
2022," May","Halifax/Dartmouth"," 70.7%","Hotel Occupancy Rate"
2022," May","St. Johns"," 58.6%","Hotel Occupancy Rate"
2022," Jun","Montreal Airport/Laval"," 87.6%","Hotel Occupancy Rate"
2022," Jun","Greater Quebec City"," 68.1%","Hotel Occupancy Rate"
2022," Jun","Moncton"," 60.5%","Hotel Occupancy Rate"
2022," Jun","Halifax/Dartmouth"," 83.3%","Hotel Occupancy Rate"
2022," Jun","St. Johns"," 82.2%","Hotel Occupancy Rate"
2022," Jul","Montreal Airport/Laval"," 85.1%","Hotel Occupancy Rate"
2022," Jul","Greater Quebec City"," 80.6%","Hotel Occupancy Rate"
2022," Jul","Moncton"," 81.3%","Hotel Occupancy Rate"
2022," Jul","Halifax/Dartmouth"," 87.3%","Hotel Occupancy Rate"
2022," Jul","St. Johns"," 85.2%","Hotel Occupancy Rate"
