Year, Month, Eastern Ontario, Kingston, Other Eastern Ontario, Ottawa, Downtown Ottawa, Ottawa West, Ottawa East, Greater Vancouver, Central Ontario, 
2019, Dec, 40.8%, 40.7%, 40.8%, 54.3%, 56%, 55.1%, 45%, 67.9%, 44.1%, 
2020, Jan, 45.1%, 47.3%, 44%, 57%, 57.8%, 58.8%, 49.9%, 65.6%, 46%, 
2020, Feb, 53.4%, 49.7%, 55.2%, 72.4%, 75.1%, 71.6%, 62.7%, 73.2%, 55.1%, 
2020, Mar, 35.8%, 33.8%, 36.7%, 35%, 34%, 38.6%, 30.6%, 39.3%, 28.9%, 
2020, Apr, 20.1%, 18.1%, 20.8%, 15.4%, 10.5%, 23.5%, 13.6%, 16.2%, 17.1%, 
2020, May, 23.6%, 22.2%, 24%, 18.3%, 11.4%, 27%, 19.7%, 20.3%, 21%, 
2020, Jun, 30.4%, 24.7%, 32.8%, 23.9%, 18.4%, 31%, 24.7%, 24.8%, 29.1%, 
2020, Jul, 47.3%, 35%, 52.6%, 29.6%, 25.4%, 36.1%, 32.2%, 29%, 50.8%, 
2020, Aug, 61.2%, 52.4%, 65.3%, 41.3%, 41.3%, 42.6%, 38.4%, 35.3%, 66.4%, 
2020, Sep, 51.2%, 41.1%, 55.9%, 39.2%, 37%, 43.6%, 36.7%, 34.6%, 55.1%, 
2020, Oct, 42.1%, 31.5%, 47%, 28.3%, 22.9%, 36.2%, 30.3%, 31.9%, 46.6%, 
2020, Nov, 39.6%, 32.9%, 43%, 25.9%, 19%, 35.7%, 28.8%, 27.1%, 37%, 
2020, Dec, 25.7%, 20.6%, 28.3%, 23.2%, 19.4%, 28.4%, 25.5%, 24.6%, 27.8%, 
2021, Jan, 27%, 28.5%, 26.2%, 20.3%, 17.9%, 24.7%, 18.9%, 27%, 21%, 
2021, Feb, 32.3%, 24.6%, 36.1%, 24.4%, 20%, 32.8%, 20.9%, 32.5%, 31.4%, 
2021, Mar, 36.3%, 29.6%, 39.5%, 31.7%, 26.5%, 38.6%, 38.6%, 39.5%, 33.8%, 
2021, Apr, 30.1%, 23.4%, 33.2%, 24.6%, 17.3%, 34.6%, 32.9%, 35.1%, 25.6%, 
2021, May, 31.4%, 23.8%, 35.2%, 24.9%, 16.9%, 35.6%, 34.5%, 31%, 32.3%, 
2021, Jun, 43.4%, 37.2%, 46.2%, 32.8%, 24.2%, 44.5%, 43.4%, 44.3%, 47.1%, 
2021, Jul, 66%, 60.6%, 68.5%, 50%, 44.5%, 59.8%, 48.1%, 57%, 71.6%, 
2021, Aug, 79.3%, 78.8%, 79.6%, 68.1%, 65.4%, 72.9%, 67.2%, 72.2%, 78.3%, 
2021, Sep, 71.5%, 74.7%, 69.9%, 60.3%, 56.3%, 65.4%, 62.8%, 64.3%, 60.8%, 
2021, Oct, 60.4%, 59.4%, 60.8%, 54.7%, 48.9%, 63.3%, 55.6%, 58.7%, 56%, 
2021, Nov, 51.9%, 53.3%, 51.2%, 52.9%, 49.9%, 58.5%, 50.4%, 56%, 44.6%, 
2021, Dec, 36%, 32.8%, 37.6%, 40.3%, 36.3%, 46.8%, 39.6%, 52.3%, 38.8%, 
2022, Jan, 28.3%, 21.5%, 31.5%, 28.4%, 22.5%, 35.4%, 33.9%, 39.9%, 34%, 
2022, Feb, 40%, 37.3%, 41.4%, 45.9%, 28.3%, 67.1%, 66.2%, 52.2%, 46.7%, 
2022, Mar, 48.3%, 49%, 48%, 44.4%, 37.3%, 54.2%, 48.1%, 65.3%, 45.8%, 
2022, Apr, 53.1%, 59%, 50.4%, 53.6%, 49.4%, 60.1%, 54.1%, 76.8%, 41.8%, 
2022, May, 60.4%, 57.4%, 61.8%, 68.7%, 68.5%, 69.3%, 67.8%, 77.7%, 52.2%, 
2022, Jun, 70.4%, 72.8%, 69.4%, 73.2%, 72.9%, 74.5%, 71.1%, 84.8%, 66.7%, 
2022, Jul, 76.3%, 71.4%, 78.4%, 70.9%, 67%, 76.9%, 71.1%, 86.5%, 73.8%, 
2022, Aug, 75.1%, 76.7%, 74.5%, 78.8%, 77.5%, 82.3%, 75.2%, 87.1%, 74.8%, 
