Year, Month, Downtown Vancouver, Vancouver Island, Whistler Resort Area, Alberta Resorts, Calgary, Edmonton, Regina, Winnipeg, Greater Montreal, Downtown  Montreal, 
2018, Apr, 77.2%, 70.1%, 61.8%, 52.1%, 61.7%, 65.1%, 64.7%, 69.1%, 66.8%, 64%, 
2018, May, 86.8%, 74.5%, 50.6%, 69.8%, 63.6%, 63.1%, 70%, 73.9%, 74.6%, 73.9%, 
2018, Jun, 91.9%, 84.6%, 64.5%, 85.2%, 73.5%, 58.8%, 66.3%, 79.7%, 84%, 84.1%, 
2018, Jul, 91.2%, 84.9%, 82.3%, 93%, 80.3%, 57.5%, 62.5%, 70.5%, 81.9%, 83.7%, 
2018, Aug, 93.2%, 91.3%, 82.7%, 92.3%, 77.7%, 62.8%, 62.9%, 79%, 84.6%, 84.7%, 
2018, Sep, 90.9%, 82.2%, 70.2%, 88.9%, 73.5%, 59.9%, 63.6%, 75.5%, 83.4%, 85.7%, 
2018, Oct, 83.5%, 71.2%, 42.7%, 64.5%, 62%, 59.7%, 65.2%, 74.6%, 82.4%, 84.7%, 
2018, Nov, 75.6%, 67.3%, 38.3%, 45.8%, 56.4%, 65.5%, 66.9%, 73.2%, 68.6%, 68.6%, 
2018, Dec, 64%, 62.3%, 70.4%, 50%, 45.4%, 48.4%, 44.6%, 56.3%, 58.9%, 58.5%, 
2019, Jan, 65.2%, 51.3%, 83.6%, 48.1%, 47%, 49.2%, 46%, 55.9%, 52%, 46.1%, 
2019, Feb, 71.9%, 61.7%, 86.7%, 56.5%, 53.9%, 56.7%, 49.9%, 70.1%, 64%, 59.6%, 
2019, Mar, 72.9%, 69.5%, 87.5%, 59.5%, 53.2%, 61.3%, 54.1%, 69.3%, 59.9%, 56%, 
2019, Apr, 79.9%, 69.8%, 68.8%, 51.6%, 57.2%, 60.3%, 62.7%, 65.8%, 70.9%, 68.9%, 
2019, May, 84.9%, 74.6%, 53.9%, 67.3%, 59.9%, 59.3%, 65%, 74.4%, 81.2%, 80.9%, 
2019, Jun, 92.2%, 79.6%, 72.6%, 84.3%, 69.2%, 61.7%, 57.9%, 76.6%, 84%, 84.3%, 
2019, Jul, 91.1%, 84.9%, 81.8%, 92.5%, 80.1%, 58.3%, 62.3%, 70.4%, 81.4%, 81.9%, 
2019, Aug, 92.5%, 88.5%, 85.3%, 92.9%, 76.1%, 56.9%, 61.8%, 77.1%, 85.8%, 86.2%, 
2019, Sep, 91.4%, 78.9%, 69.3%, 85.6%, 70%, 55%, 55.3%, 75.1%, 84.9%, 86.5%, 
2019, Oct, 77.4%, 69.7%, 40.5%, 58.4%, 58%, 54.7%, 60.3%, 81.3%, 81.3%, 82.4%, 
2019, Nov, 74.3%, 61.8%, 39.4%, 47.8%, 57.6%, 57.1%, 64.4%, 70.9%, 71.6%, 71.6%, 
2019, Dec, 68.5%, 55.1%, 72.7%, 50.9%, 43.4%, 44.6%, 44.7%, 56.1%, 55.6%, 52.3%, 
2020, Jan, 63.7%, 48.4%, 79.8%, 50.1%, 44.5%, 43.5%, 52.8%, 56.7%, 52.8%, 47.3%, 
2020, Feb, 71.8%, 64.4%, 85.1%, 59.6%, 52.1%, 52.8%, 55%, 68.8%, 63.3%, 59.4%, 
2020, Mar, 32.2%, 37%, 36.7%, 26.5%, 27.7%, 29.1%, 33.7%, 36.6%, 26.4%, 20.3%, 
2020, Apr, 5.1%, 12.9%, 2.8%, 7%, 9.2%, 11.6%, 13.3%, 10.3%, 6.8%, 2.9%, 
2020, May, 8.3%, 19.5%, 5.6%, 16.9%, 11.2%, 15.9%, 14.5%, 14.1%, 18%, 14.5%, 
2020, Jun, 14%, 29.5%, 18.9%, 29.8%, 17.5%, 22.9%, 20.6%, 23.9%, 18.7%, 13.4%, 
2020, Jul, 20.1%, 46.6%, 47.8%, 51.4%, 23.4%, 27%, 30.6%, 33.6%, 17.9%, 11%, 
2020, Aug, 29%, 61.6%, 59.8%, 61.9%, 29.3%, 34%, 34%, 35.9%, 21.1%, 15.2%, 
2020, Sep, 26.8%, 53.8%, 42.8%, 47.5%, 27.5%, 29.7%, 32.5%, 30.9%, 21.6%, 15.1%, 
2020, Oct, 23%, 47.5%, 32.1%, 38.7%, 22.5%, 25.8%, 29.4%, 27%, 13.6%, 6.3%, 
2020, Nov, 17.5%, 36.7%, 20.3%, 30.2%, 19.4%, 22.9%, 24.4%, 20.6%, 14.7%, 7.4%, 
2020, Dec, 16.9%, 27.1%, 28%, 22.8%, 14.9%, 19%, 19.8%, 18%, 14.4%, 8.6%, 
2021, Jan, 16.8%, 33.7%, 26.5%, 20.4%, 14.3%, 19.1%, 22.5%, 21.9%, 12.5%, 6.7%, 
2021, Feb, 22%, 42.2%, 24.7%, 33%, 18.6%, 22.4%, 24.1%, 25.4%, 15.3%, 8.8%, 
2021, Mar, 25.3%, 48.6%, 32.2%, 40%, 22.3%, 26.4%, 23.6%, 28.7%, 20.2%, 9.9%, 
2021, Apr, 22.8%, 39.8%, 4.8%, 29%, 23.7%, 26.9%, 23%, 29%, 20.9%, 9.4%, 
2021, May, 19.7%, 30%, 6.7%, 17.4%, 20.3%, 25.1%, 26.2%, 25%, 22.1%, 10.7%, 
2021, Jun, 31.2%, 46.8%, 25.7%, 30.6%, 27.6%, 30.9%, 30.2%, 27.7%, 27.1%, 15.1%, 
2021, Jul, 50%, 74.2%, 59.2%, 53.9%, 52.4%, 44.8%, 41.6%, 46.2%, 41.3%, 32.4%, 
2021, Aug, 69.2%, 82.4%, 63.7%, 64%, 63.1%, 55.5%, 52.8%, 67.7%, 50.8%, 46.3%, 
2021, Sep, 63.6%, 75.7%, 47.9%, 59.8%, 46.1%, 43.2%, 43.9%, 59.2%, 44.7%, 40.6%, 
2021, Oct, 57.3%, 67.9%, 40.8%, 44.8%, 35.9%, 36.3%, 39.3%, 52.1%, 47%, 44.8%, 
2021, Nov, 52.5%, 62.7%, 37.9%, 46.7%, 37.8%, 42.9%, 48.7%, 51.7%, 45.5%, 42.4%, 
2021, Dec, 49.7%, 54.4%, 61.8%, 47%, 36.7%, 39%, 40.4%, 44.3%, 40.4%, 33.2%, 
2022, Jan, 30.4%, 43.4%, 52.1%, 34.1%, 28.1%, 30.9%, 31.3%, 29.7%, 23%, 13.3%, 
2022, Feb, 46%, 56.9%, 71.5%, 50.1%, 38%, 39%, 38.3%, 41.7%, 31.5%, 22%, 
2022, Mar, 61.9%, 69.7%, 75.5%, 57.4%, 47%, 51.4%, 47.7%, 56.4%, 48.1%, 38.8%, 
2022, Apr, 77%, 72.7%, 55.4%, 49.3%, 57.7%, 55.6%, 53.7%, 59.7%, 55.2%, 48.7%, 
2022, May, 77.5%, 73.9%, 47.3%, 54.7%, 62.6%, 56.5%, 55.1%, 72.1%, 65.9%, 61.1%, 
2022, Jun, 85.1%, 78.7%, 60%, 73.3%, 72.2%, 54.7%, 62.7%, 77.7%, 77.6%, 73.7%, 
2022, Jul, 87.2%, 83.8%, 64.7%, 80.6%, 83.2%, 62%, 60.2%, 79.3%, 78.3%, 75.3%, 
2022, Aug, 87.4%, 85.1%, 67.9%, 81.3%, 74.3%, 61.3%, 53.8%, 79.3%, 78.4%, 76%, 
