Year, Month, Canada, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec, Saskatchewan, Newfoundland, 
2019, Dec, 49.4%, 56.2%, 52.4%, 38.1%, 42.8%, 52.3%, 53.4%, 43.2%, 38.2%, 
2020, Jan, 50.4%, 56.5%, 55.4%, 40.1%, 43.7%, 54%, 51.3%, 47.5%, 32.8%, 
2020, Feb, 58.4%, 64.9%, 65.5%, 44.8%, 53%, 60.6%, 63.4%, 52.7%, 40.7%, 
2020, Mar, 32.1%, 37.4%, 36.2%, 25.8%, 32.5%, 32.8%, 27.6%, 32.9%, 26.6%, 
2020, Apr, 13.6%, 16.4%, 12.6%, 8.6%, 14.1%, 15.1%, 6.7%, 14.5%, 6.5%, 
2020, May, 18.8%, 21.5%, 17.4%, 14.7%, 17.3%, 19.6%, 15.7%, 19.4%, 9.3%, 
2020, Jun, 24.8%, 30.6%, 27.9%, 19.7%, 19.5%, 24%, 19.4%, 26.1%, 15%, 
2020, Jul, 33.7%, 44.1%, 40.8%, 27.8%, 28.4%, 32.4%, 27.5%, 32.5%, 25.9%, 
2020, Aug, 41.8%, 52.8%, 41.4%, 39.1%, 36.2%, 42.2%, 34%, 37.6%, 37.1%, 
2020, Sep, 38.4%, 48.2%, 35.6%, 33.4%, 35%, 38.9%, 29.4%, 37.7%, 30.7%, 
2020, Oct, 31.4%, 40.5%, 31.8%, 24.2%, 34.1%, 32.1%, 16.7%, 34.3%, 27.1%, 
2020, Nov, 27.8%, 32.2%, 24.6%, 21.3%, 32.2%, 30.6%, 17.9%, 26.7%, 29.8%, 
2020, Dec, 22.5%, 27.3%, 20%, 15.1%, 18.4%, 25.3%, 17%, 21.4%, 19.8%, 
2021, Jan, 22.5%, 29.6%, 23.9%, 13.2%, 22.4%, 23.7%, 13.8%, 24.3%, 19.1%, 
2021, Feb, 27.5%, 35.4%, 27.5%, 16.5%, 28.3%, 28.7%, 19%, 28.8%, 14.4%, 
2021, Mar, 32.4%, 42.7%, 31.5%, 25.3%, 31.2%, 33.6%, 23.6%, 29.9%, 16.6%, 
2021, Apr, 29.7%, 36.1%, 31.4%, 24.7%, 28.9%, 31.1%, 20%, 28.3%, 30.1%, 
2021, May, 28.3%, 32.5%, 27.9%, 25.2%, 18.1%, 30.5%, 22.4%, 32.3%, 30.5%, 
2021, Jun, 36.9%, 47.2%, 31.7%, 28.5%, 25.6%, 38.2%, 31.3%, 38.9%, 30.9%, 
2021, Jul, 54.6%, 66.9%, 50.6%, 53.4%, 49.6%, 53.9%, 50.7%, 49.6%, 51.2%, 
2021, Aug, 66%, 73.8%, 68.3%, 73.8%, 76.7%, 67.7%, 59.2%, 57.7%, 64.7%, 
2021, Sep, 58.4%, 66.1%, 60.9%, 58.1%, 72.6%, 62.4%, 48.9%, 49%, 60.5%, 
2021, Oct, 51.6%, 58.7%, 52.1%, 40%, 59.5%, 56.5%, 48.2%, 47.7%, 46.5%, 
2021, Nov, 49.7%, 54.6%, 50.5%, 38.1%, 51.9%, 53.7%, 45.2%, 48.8%, 46.1%, 
2021, Dec, 42.6%, 49.7%, 42.1%, 30.2%, 37.6%, 45.4%, 39.4%, 39.6%, 34.2%, 
2022, Jan, 32.6%, 43%, 30.6%, 18.4%, 26.4%, 32.4%, 21.8%, 35.7%, 23.5%, 
2022, Feb, 43.8%, 54.5%, 42.8%, 30.9%, 37.7%, 44.3%, 35.1%, 44%, 30.4%, 
2022, Mar, 53.2%, 64.3%, 54.8%, 44.8%, 55.3%, 52.6%, 48.2%, 49.4%, 37.8%, 
2022, Apr, 57.5%, 68%, 57.7%, 48.2%, 57.7%, 58.9%, 51.7%, 52.5%, 47.2%, 
2022, May, 63.3%, 70.2%, 69.3%, 55.1%, 66.4%, 66.1%, 61.1%, 56.8%, 57.1%, 
2022, Jun, 72%, 77.5%, 74%, 64.4%, 77.8%, 76.3%, 71.7%, 61.8%, 81%, 
2022, Jul, 75.9%, 81.6%, 78.1%, 82.1%, 84.6%, 76.5%, 76.1%, 63.3%, 84.8%, 
2022, Aug, 76.6%, 82.2%, 77.8%, 84.2%, 89.4%, 78.4%, 77.5%, 60.6%, 86.7%, 
