"GEO","Date","Value"
"Nova Scotia",2006-10-01,27
"Nova Scotia",2006-11-01,21
"Nova Scotia",2006-12-01,19
"Nova Scotia",2007-01-01,13
"Nova Scotia",2007-02-01,29
"Nova Scotia",2007-03-01,29
"Nova Scotia",2007-04-01,21
"Nova Scotia",2007-05-01,21
"Nova Scotia",2007-06-01,20
"Nova Scotia",2007-07-01,15
"Nova Scotia",2007-08-01,12
"Nova Scotia",2007-09-01,11
"Nova Scotia",2007-10-01,24
"Nova Scotia",2007-11-01,20
"Nova Scotia",2007-12-01,13
"Nova Scotia",2008-01-01,15
"Nova Scotia",2008-02-01,18
"Nova Scotia",2008-03-01,20
"Nova Scotia",2008-04-01,21
"Nova Scotia",2008-05-01,24
"Nova Scotia",2008-06-01,15
"Nova Scotia",2008-07-01,22
"Nova Scotia",2008-08-01,13
"Nova Scotia",2008-09-01,10
"Nova Scotia",2008-10-01,11
"Nova Scotia",2008-11-01,11
"Nova Scotia",2008-12-01,13
"Nova Scotia",2009-01-01,13
"Nova Scotia",2009-02-01,11
"Nova Scotia",2009-03-01,14
"Nova Scotia",2009-04-01,22
"Nova Scotia",2009-05-01,12
"Nova Scotia",2009-06-01,24
"Nova Scotia",2009-07-01,8
"Nova Scotia",2009-08-01,12
"Nova Scotia",2009-09-01,8
"Nova Scotia",2009-10-01,8
"Nova Scotia",2009-11-01,18
"Nova Scotia",2009-12-01,16
"Nova Scotia",2010-01-01,8
"Nova Scotia",2010-02-01,7
"Nova Scotia",2010-03-01,12
"Nova Scotia",2010-04-01,22
"Nova Scotia",2010-05-01,16
"Nova Scotia",2010-06-01,16
"Nova Scotia",2010-07-01,12
"Nova Scotia",2010-08-01,13
"Nova Scotia",2010-09-01,17
"Nova Scotia",2010-10-01,13
"Nova Scotia",2010-11-01,13
"Nova Scotia",2010-12-01,18
"Nova Scotia",2011-01-01,12
"Nova Scotia",2011-02-01,13
"Nova Scotia",2011-03-01,16
"Nova Scotia",2011-04-01,8
"Nova Scotia",2011-05-01,13
"Nova Scotia",2011-06-01,12
"Nova Scotia",2011-07-01,5
"Nova Scotia",2011-08-01,8
"Nova Scotia",2011-09-01,5
"Nova Scotia",2011-10-01,8
"Nova Scotia",2011-11-01,5
"Nova Scotia",2011-12-01,8
"Nova Scotia",2012-01-01,6
"Nova Scotia",2012-02-01,13
"Nova Scotia",2012-03-01,7
"Nova Scotia",2012-04-01,6
"Nova Scotia",2012-05-01,9
"Nova Scotia",2012-06-01,9
"Nova Scotia",2012-07-01,9
"Nova Scotia",2012-08-01,7
"Nova Scotia",2012-09-01,6
"Nova Scotia",2012-10-01,14
"Nova Scotia",2012-11-01,15
"Nova Scotia",2012-12-01,5
"Nova Scotia",2013-01-01,11
"Nova Scotia",2013-02-01,12
"Nova Scotia",2013-03-01,6
"Nova Scotia",2013-04-01,9
"Nova Scotia",2013-05-01,8
"Nova Scotia",2013-06-01,11
"Nova Scotia",2013-07-01,6
"Nova Scotia",2013-08-01,14
"Nova Scotia",2013-09-01,7
"Nova Scotia",2013-10-01,11
"Nova Scotia",2013-11-01,11
"Nova Scotia",2013-12-01,5
"Nova Scotia",2014-01-01,4
"Nova Scotia",2014-02-01,7
"Nova Scotia",2014-03-01,6
"Nova Scotia",2014-04-01,7
"Nova Scotia",2014-05-01,12
"Nova Scotia",2014-06-01,4
"Nova Scotia",2014-07-01,9
"Nova Scotia",2014-08-01,7
"Nova Scotia",2014-09-01,3
"Nova Scotia",2014-10-01,4
"Nova Scotia",2014-11-01,7
"Nova Scotia",2014-12-01,7
"Nova Scotia",2015-01-01,8
"Nova Scotia",2015-02-01,6
"Nova Scotia",2015-03-01,5
"Nova Scotia",2015-04-01,9
"Nova Scotia",2015-05-01,10
"Nova Scotia",2015-06-01,17
"Nova Scotia",2015-07-01,6
"Nova Scotia",2015-08-01,3
"Nova Scotia",2015-09-01,12
"Nova Scotia",2015-10-01,4
"Nova Scotia",2015-11-01,7
"Nova Scotia",2015-12-01,6
"Nova Scotia",2016-01-01,6
"Nova Scotia",2016-02-01,3
"Nova Scotia",2016-03-01,4
"Nova Scotia",2016-04-01,8
"Nova Scotia",2016-05-01,8
"Nova Scotia",2016-06-01,9
"Nova Scotia",2016-07-01,8
"Nova Scotia",2016-08-01,8
"Nova Scotia",2016-09-01,3
"Nova Scotia",2016-10-01,7
"Nova Scotia",2016-11-01,5
"Nova Scotia",2016-12-01,6
"Nova Scotia",2017-01-01,3
"Nova Scotia",2017-02-01,1
"Nova Scotia",2017-03-01,5
"Nova Scotia",2017-04-01,2
"Nova Scotia",2017-05-01,5
"Nova Scotia",2017-06-01,6
"Nova Scotia",2017-07-01,7
"Nova Scotia",2017-08-01,7
"Nova Scotia",2017-09-01,3
"Nova Scotia",2017-10-01,4
"Nova Scotia",2017-11-01,3
"Nova Scotia",2017-12-01,3
"Nova Scotia",2018-01-01,5
"Nova Scotia",2018-02-01,7
"Nova Scotia",2018-03-01,4
"Nova Scotia",2018-04-01,2
"Nova Scotia",2018-05-01,3
"Nova Scotia",2018-06-01,2
"Nova Scotia",2018-07-01,3
"Nova Scotia",2018-08-01,8
"Nova Scotia",2018-09-01,5
"Nova Scotia",2018-10-01,2
"Nova Scotia",2018-11-01,5
"Nova Scotia",2018-12-01,1
"Nova Scotia",2019-01-01,3
"Nova Scotia",2019-02-01,6
"Nova Scotia",2019-03-01,3
"Nova Scotia",2019-04-01,9
"Nova Scotia",2019-05-01,5
"Nova Scotia",2019-06-01,7
"Nova Scotia",2019-07-01,7
"Nova Scotia",2019-08-01,1
"Nova Scotia",2019-09-01,4
"Nova Scotia",2019-10-01,3
"Nova Scotia",2019-11-01,6
"Nova Scotia",2019-12-01,5
"Nova Scotia",2020-01-01,6
"Nova Scotia",2020-02-01,4
"Nova Scotia",2020-03-01,2
"Nova Scotia",2020-04-01,0
"Nova Scotia",2020-05-01,1
"Nova Scotia",2020-06-01,1
"Nova Scotia",2020-07-01,1
"Nova Scotia",2020-08-01,0
"Nova Scotia",2020-09-01,0
"Nova Scotia",2020-10-01,4
"Nova Scotia",2020-11-01,0
"Nova Scotia",2020-12-01,0
"Nova Scotia",2021-01-01,3
"Nova Scotia",2021-02-01,1
"Nova Scotia",2021-03-01,3
"Nova Scotia",2021-04-01,0
"Nova Scotia",2021-05-01,0
"Nova Scotia",2021-06-01,2
"Nova Scotia",2021-07-01,0
"Nova Scotia",2021-08-01,1
"Nova Scotia",2021-09-01,0
"Nova Scotia",2021-10-01,5
"Nova Scotia",2021-11-01,1
"Nova Scotia",2021-12-01,1
"Nova Scotia",2022-01-01,1
"Nova Scotia",2022-02-01,4
"Nova Scotia",2022-03-01,3
"Nova Scotia",2022-04-01,3
"Nova Scotia",2022-05-01,0
"Nova Scotia",2022-06-01,2
"Nova Scotia",2022-07-01,1
"Nova Scotia",2022-08-01,3
"Nova Scotia",2022-09-01,1
"Nova Scotia",2022-10-01,3
"Nova Scotia",2022-11-01,2
"Nova Scotia",2022-12-01,4
"Nova Scotia",2023-01-01,5
"Nova Scotia",2023-02-01,2
"Nova Scotia",2023-03-01,2
"Nova Scotia",2023-04-01,3
"Nova Scotia",2023-05-01,3
"Nova Scotia",2023-06-01,3
"Nova Scotia",2023-07-01,6
"Nova Scotia",2023-08-01,3
"Nova Scotia",2023-09-01,4
"Nova Scotia",2023-10-01,2
"Nova Scotia",2023-11-01,4
"Nova Scotia",2023-12-01,5
"Nova Scotia",2024-01-01,3
"Nova Scotia",2024-02-01,4
"Nova Scotia",2024-03-01,4
"Nova Scotia",2024-04-01,4
"Nova Scotia",2024-05-01,3
"Nova Scotia",2024-06-01,7
"Nova Scotia",2024-07-01,6
"Nova Scotia",2024-08-01,8
"Nova Scotia",2024-09-01,4
"Nova Scotia",2024-10-01,4
"Nova Scotia",2024-11-01,9
"Nova Scotia",2024-12-01,4
"Nova Scotia",2025-01-01,8
"Nova Scotia",2025-02-01,3
"Nova Scotia",2025-03-01,7
"Nova Scotia",2025-04-01,5
"Nova Scotia",2025-05-01,1
"New Brunswick",2000-01-01,20
"New Brunswick",2000-02-01,22
"New Brunswick",2000-03-01,31
"New Brunswick",2000-04-01,18
"New Brunswick",2000-05-01,24
"New Brunswick",2000-06-01,18
"New Brunswick",2000-07-01,17
"New Brunswick",2000-08-01,25
"New Brunswick",2000-09-01,14
"New Brunswick",2000-10-01,17
"New Brunswick",2000-11-01,21
"New Brunswick",2000-12-01,16
"New Brunswick",2001-01-01,27
"New Brunswick",2001-02-01,22
"New Brunswick",2001-03-01,22
"New Brunswick",2001-04-01,26
"New Brunswick",2001-05-01,25
"New Brunswick",2001-06-01,25
"New Brunswick",2001-07-01,15
"New Brunswick",2001-08-01,22
"New Brunswick",2001-09-01,23
"New Brunswick",2001-10-01,33
"New Brunswick",2001-11-01,22
"New Brunswick",2001-12-01,16
"New Brunswick",2002-01-01,26
"New Brunswick",2002-02-01,23
"New Brunswick",2002-03-01,27
"New Brunswick",2002-04-01,21
"New Brunswick",2002-05-01,28
"New Brunswick",2002-06-01,26
"New Brunswick",2002-07-01,9
"New Brunswick",2002-08-01,20
"New Brunswick",2002-09-01,8
"New Brunswick",2002-10-01,16
"New Brunswick",2002-11-01,30
"New Brunswick",2002-12-01,22
"New Brunswick",2003-01-01,21
"New Brunswick",2003-02-01,14
"New Brunswick",2003-03-01,20
"New Brunswick",2003-04-01,18
"New Brunswick",2003-05-01,21
"New Brunswick",2003-06-01,24
"New Brunswick",2003-07-01,20
"New Brunswick",2003-08-01,22
"New Brunswick",2003-09-01,18
"New Brunswick",2003-10-01,29
"New Brunswick",2003-11-01,16
"New Brunswick",2003-12-01,25
"New Brunswick",2004-01-01,17
"New Brunswick",2004-02-01,29
"New Brunswick",2004-03-01,22
"New Brunswick",2004-04-01,27
"New Brunswick",2004-05-01,5
"New Brunswick",2004-06-01,33
"New Brunswick",2004-07-01,27
"New Brunswick",2004-08-01,10
"New Brunswick",2004-09-01,19
"New Brunswick",2004-10-01,22
"New Brunswick",2004-11-01,15
"New Brunswick",2004-12-01,19
"New Brunswick",2005-01-01,20
"New Brunswick",2005-02-01,30
"New Brunswick",2005-03-01,14
"New Brunswick",2005-04-01,29
"New Brunswick",2005-05-01,20
"New Brunswick",2005-06-01,21
"New Brunswick",2005-07-01,17
"New Brunswick",2005-08-01,13
"New Brunswick",2005-09-01,18
"New Brunswick",2005-10-01,14
"New Brunswick",2005-11-01,15
"New Brunswick",2005-12-01,22
"New Brunswick",2006-01-01,15
"New Brunswick",2006-02-01,21
"New Brunswick",2006-03-01,22
"New Brunswick",2006-04-01,19
"New Brunswick",2006-05-01,21
"New Brunswick",2006-06-01,31
"New Brunswick",2006-07-01,16
"New Brunswick",2006-08-01,17
"New Brunswick",2006-09-01,17
"New Brunswick",2006-10-01,16
"New Brunswick",2006-11-01,13
"New Brunswick",2006-12-01,21
"New Brunswick",2007-01-01,21
"New Brunswick",2007-02-01,12
"New Brunswick",2007-03-01,13
"New Brunswick",2007-04-01,17
"New Brunswick",2007-05-01,14
"New Brunswick",2007-06-01,25
"New Brunswick",2007-07-01,14
"New Brunswick",2007-08-01,11
"New Brunswick",2007-09-01,15
"New Brunswick",2007-10-01,15
"New Brunswick",2007-11-01,17
"New Brunswick",2007-12-01,9
"New Brunswick",2008-01-01,19
"New Brunswick",2008-02-01,26
"New Brunswick",2008-03-01,13
"New Brunswick",2008-04-01,24
"New Brunswick",2008-05-01,31
"New Brunswick",2008-06-01,15
"New Brunswick",2008-07-01,19
"New Brunswick",2008-08-01,22
"New Brunswick",2008-09-01,24
"New Brunswick",2008-10-01,15
"New Brunswick",2008-11-01,21
"New Brunswick",2008-12-01,14
"New Brunswick",2009-01-01,14
"New Brunswick",2009-02-01,7
"New Brunswick",2009-03-01,10
"New Brunswick",2009-04-01,14
"New Brunswick",2009-05-01,14
"New Brunswick",2009-06-01,9
"New Brunswick",2009-07-01,14
"New Brunswick",2009-08-01,11
"New Brunswick",2009-09-01,9
"New Brunswick",2009-10-01,13
"New Brunswick",2009-11-01,12
"New Brunswick",2009-12-01,5
"New Brunswick",2010-01-01,13
"New Brunswick",2010-02-01,7
"New Brunswick",2010-03-01,4
"New Brunswick",2010-04-01,18
"New Brunswick",2010-05-01,2
"New Brunswick",2010-06-01,5
"New Brunswick",2010-07-01,7
"New Brunswick",2010-08-01,2
"New Brunswick",2010-09-01,7
"New Brunswick",2010-10-01,10
"New Brunswick",2010-11-01,6
"New Brunswick",2010-12-01,2
"New Brunswick",2011-01-01,3
"New Brunswick",2011-02-01,5
"New Brunswick",2011-03-01,5
"New Brunswick",2011-04-01,6
"New Brunswick",2011-05-01,10
"New Brunswick",2011-06-01,4
"New Brunswick",2011-07-01,5
"New Brunswick",2011-08-01,4
"New Brunswick",2011-09-01,12
"New Brunswick",2011-10-01,1
"New Brunswick",2011-11-01,4
"New Brunswick",2011-12-01,1
"New Brunswick",2012-01-01,7
"New Brunswick",2012-02-01,9
"New Brunswick",2012-03-01,2
"New Brunswick",2012-04-01,9
"New Brunswick",2012-05-01,6
"New Brunswick",2012-06-01,3
"New Brunswick",2012-07-01,6
"New Brunswick",2012-08-01,6
"New Brunswick",2012-09-01,5
"New Brunswick",2012-10-01,10
"New Brunswick",2012-11-01,3
"New Brunswick",2012-12-01,4
"New Brunswick",2013-01-01,6
"New Brunswick",2013-02-01,7
"New Brunswick",2013-03-01,2
"New Brunswick",2013-04-01,6
"New Brunswick",2013-05-01,6
"New Brunswick",2013-06-01,10
"New Brunswick",2013-07-01,5
"New Brunswick",2013-08-01,8
"New Brunswick",2013-09-01,5
"New Brunswick",2013-10-01,4
"New Brunswick",2013-11-01,15
"New Brunswick",2013-12-01,8
"New Brunswick",2014-01-01,5
"New Brunswick",2014-02-01,6
"New Brunswick",2014-03-01,15
"New Brunswick",2014-04-01,7
"New Brunswick",2014-05-01,6
"New Brunswick",2014-06-01,8
"New Brunswick",2014-07-01,6
"New Brunswick",2014-08-01,1
"New Brunswick",2014-09-01,7
"New Brunswick",2014-10-01,10
"New Brunswick",2014-11-01,8
"New Brunswick",2014-12-01,8
"New Brunswick",2015-01-01,7
"New Brunswick",2015-02-01,7
"New Brunswick",2015-03-01,9
"New Brunswick",2015-04-01,4
"New Brunswick",2015-05-01,8
"New Brunswick",2015-06-01,2
"New Brunswick",2015-07-01,8
"New Brunswick",2015-08-01,4
"New Brunswick",2015-09-01,10
"New Brunswick",2015-10-01,7
"New Brunswick",2015-11-01,3
"New Brunswick",2015-12-01,11
"New Brunswick",2016-01-01,3
"New Brunswick",2016-02-01,6
"New Brunswick",2016-03-01,8
"New Brunswick",2016-04-01,5
"New Brunswick",2016-05-01,7
"New Brunswick",2016-06-01,3
"New Brunswick",2016-07-01,7
"New Brunswick",2016-08-01,3
"New Brunswick",2016-09-01,4
"New Brunswick",2016-10-01,5
"New Brunswick",2016-11-01,4
"New Brunswick",2016-12-01,4
"New Brunswick",2017-01-01,2
"New Brunswick",2017-02-01,1
"New Brunswick",2017-03-01,5
"New Brunswick",2017-04-01,8
"New Brunswick",2017-05-01,8
"New Brunswick",2017-06-01,7
"New Brunswick",2017-07-01,4
"New Brunswick",2017-08-01,2
"New Brunswick",2017-09-01,0
"New Brunswick",2017-10-01,6
"New Brunswick",2017-11-01,3
"New Brunswick",2017-12-01,11
"New Brunswick",2018-01-01,2
"New Brunswick",2018-02-01,3
"New Brunswick",2018-03-01,0
"New Brunswick",2018-04-01,7
"New Brunswick",2018-05-01,3
"New Brunswick",2018-06-01,5
"New Brunswick",2018-07-01,1
"New Brunswick",2018-08-01,2
"New Brunswick",2018-09-01,5
"New Brunswick",2018-10-01,5
"New Brunswick",2018-11-01,3
"New Brunswick",2018-12-01,1
"New Brunswick",2019-01-01,5
"New Brunswick",2019-02-01,2
"New Brunswick",2019-03-01,6
"New Brunswick",2019-04-01,2
"New Brunswick",2019-05-01,4
"New Brunswick",2019-06-01,7
"New Brunswick",2019-07-01,9
"New Brunswick",2019-08-01,1
"New Brunswick",2019-09-01,4
"New Brunswick",2019-10-01,2
"New Brunswick",2019-11-01,3
"New Brunswick",2019-12-01,0
"New Brunswick",2020-01-01,1
"New Brunswick",2020-02-01,2
"New Brunswick",2020-03-01,0
"New Brunswick",2020-04-01,0
"New Brunswick",2020-05-01,0
"New Brunswick",2020-06-01,5
"New Brunswick",2020-07-01,3
"New Brunswick",2020-08-01,1
"New Brunswick",2020-09-01,1
"New Brunswick",2020-10-01,3
"New Brunswick",2020-11-01,3
"New Brunswick",2020-12-01,5
"New Brunswick",2021-01-01,1
"New Brunswick",2021-02-01,0
"New Brunswick",2021-03-01,0
"New Brunswick",2021-04-01,2
"New Brunswick",2021-05-01,0
"New Brunswick",2021-06-01,2
"New Brunswick",2021-07-01,1
"New Brunswick",2021-08-01,1
"New Brunswick",2021-09-01,1
"New Brunswick",2021-10-01,1
"New Brunswick",2021-11-01,1
"New Brunswick",2021-12-01,2
"New Brunswick",2022-01-01,3
"New Brunswick",2022-02-01,2
"New Brunswick",2022-03-01,2
"New Brunswick",2022-04-01,2
"New Brunswick",2022-05-01,1
"New Brunswick",2022-06-01,1
"New Brunswick",2022-07-01,3
"New Brunswick",2022-08-01,1
"New Brunswick",2022-09-01,4
"New Brunswick",2022-10-01,3
"New Brunswick",2022-11-01,4
"New Brunswick",2022-12-01,0
"New Brunswick",2023-01-01,3
"New Brunswick",2023-02-01,3
"New Brunswick",2023-03-01,2
"New Brunswick",2023-04-01,3
"New Brunswick",2023-05-01,4
"New Brunswick",2023-06-01,2
"New Brunswick",2023-07-01,1
"New Brunswick",2023-08-01,2
"New Brunswick",2023-09-01,2
"New Brunswick",2023-10-01,6
"New Brunswick",2023-11-01,2
"New Brunswick",2023-12-01,2
"New Brunswick",2024-01-01,3
"New Brunswick",2024-02-01,8
"New Brunswick",2024-03-01,1
"New Brunswick",2024-04-01,3
"New Brunswick",2024-05-01,1
"New Brunswick",2024-06-01,5
"New Brunswick",2024-07-01,4
"New Brunswick",2024-08-01,1
"New Brunswick",2024-09-01,6
"New Brunswick",2024-10-01,5
"New Brunswick",2024-11-01,6
"New Brunswick",2024-12-01,1
"New Brunswick",2025-01-01,4
"New Brunswick",2025-02-01,2
"New Brunswick",2025-03-01,4
"New Brunswick",2025-04-01,2
"New Brunswick",2025-05-01,3
"Quebec",2000-01-01,324
"Quebec",2000-02-01,352
"Quebec",2000-03-01,356
"Quebec",2000-04-01,302
"Quebec",2000-05-01,336
"Quebec",2000-06-01,322
"Quebec",2000-07-01,310
"Quebec",2000-08-01,247
"Quebec",2000-09-01,305
"Quebec",2000-10-01,299
"Quebec",2000-11-01,312
"Quebec",2000-12-01,254
"Quebec",2001-01-01,327
"Quebec",2001-02-01,343
"Quebec",2001-03-01,333
"Quebec",2001-04-01,317
"Quebec",2001-05-01,309
"Quebec",2001-06-01,264
"Quebec",2001-07-01,221
"Quebec",2001-08-01,235
"Quebec",2001-09-01,242
"Quebec",2001-10-01,367
"Quebec",2001-11-01,332
"Quebec",2001-12-01,238
"Quebec",2002-01-01,276
"Quebec",2002-02-01,251
"Quebec",2002-03-01,229
"Quebec",2002-04-01,286
"Quebec",2002-05-01,273
"Quebec",2002-06-01,221
"Quebec",2002-07-01,234
"Quebec",2002-08-01,237
"Quebec",2002-09-01,197
"Quebec",2002-10-01,247
"Quebec",2002-11-01,248
"Quebec",2002-12-01,231
"Quebec",2003-01-01,239
"Quebec",2003-02-01,256
"Quebec",2003-03-01,290
"Quebec",2003-04-01,271
"Quebec",2003-05-01,274
"Quebec",2003-06-01,248
"Quebec",2003-07-01,204
"Quebec",2003-08-01,156
"Quebec",2003-09-01,248
"Quebec",2003-10-01,236
"Quebec",2003-11-01,231
"Quebec",2003-12-01,212
"Quebec",2004-01-01,192
"Quebec",2004-02-01,254
"Quebec",2004-03-01,282
"Quebec",2004-04-01,211
"Quebec",2004-05-01,175
"Quebec",2004-06-01,225
"Quebec",2004-07-01,190
"Quebec",2004-08-01,191
"Quebec",2004-09-01,206
"Quebec",2004-10-01,207
"Quebec",2004-11-01,230
"Quebec",2004-12-01,193
"Quebec",2005-01-01,196
"Quebec",2005-02-01,189
"Quebec",2005-03-01,226
"Quebec",2005-04-01,166
"Quebec",2005-05-01,228
"Quebec",2005-06-01,177
"Quebec",2005-07-01,144
"Quebec",2005-08-01,141
"Quebec",2005-09-01,177
"Quebec",2005-10-01,196
"Quebec",2005-11-01,207
"Quebec",2005-12-01,179
"Quebec",2006-01-01,184
"Quebec",2006-02-01,222
"Quebec",2006-03-01,227
"Quebec",2006-04-01,178
"Quebec",2006-05-01,220
"Quebec",2006-06-01,180
"Quebec",2006-07-01,162
"Quebec",2006-08-01,168
"Quebec",2006-09-01,189
"Quebec",2006-10-01,207
"Quebec",2006-11-01,207
"Quebec",2006-12-01,192
"Quebec",2007-01-01,181
"Quebec",2007-02-01,223
"Quebec",2007-03-01,247
"Quebec",2007-04-01,220
"Quebec",2007-05-01,222
"Quebec",2007-06-01,198
"Quebec",2007-07-01,193
"Quebec",2007-08-01,203
"Quebec",2007-09-01,192
"Quebec",2007-10-01,197
"Quebec",2007-11-01,259
"Quebec",2007-12-01,206
"Quebec",2008-01-01,213
"Quebec",2008-02-01,216
"Quebec",2008-03-01,255
"Quebec",2008-04-01,279
"Quebec",2008-05-01,250
"Quebec",2008-06-01,175
"Quebec",2008-07-01,225
"Quebec",2008-08-01,203
"Quebec",2008-09-01,219
"Quebec",2008-10-01,233
"Quebec",2008-11-01,241
"Quebec",2008-12-01,202
"Quebec",2009-01-01,250
"Quebec",2009-02-01,250
"Quebec",2009-03-01,239
"Quebec",2009-04-01,213
"Quebec",2009-05-01,215
"Quebec",2009-06-01,213
"Quebec",2009-07-01,183
"Quebec",2009-08-01,170
"Quebec",2009-09-01,184
"Quebec",2009-10-01,216
"Quebec",2009-11-01,214
"Quebec",2009-12-01,179
"Quebec",2010-01-01,171
"Quebec",2010-02-01,184
"Quebec",2010-03-01,195
"Quebec",2010-04-01,237
"Quebec",2010-05-01,158
"Quebec",2010-06-01,189
"Quebec",2010-07-01,155
"Quebec",2010-08-01,134
"Quebec",2010-09-01,160
"Quebec",2010-10-01,148
"Quebec",2010-11-01,180
"Quebec",2010-12-01,188
"Quebec",2011-01-01,153
"Quebec",2011-02-01,174
"Quebec",2011-03-01,223
"Quebec",2011-04-01,195
"Quebec",2011-05-01,210
"Quebec",2011-06-01,167
"Quebec",2011-07-01,124
"Quebec",2011-08-01,149
"Quebec",2011-09-01,184
"Quebec",2011-10-01,186
"Quebec",2011-11-01,212
"Quebec",2011-12-01,150
"Quebec",2012-01-01,170
"Quebec",2012-02-01,175
"Quebec",2012-03-01,176
"Quebec",2012-04-01,166
"Quebec",2012-05-01,202
"Quebec",2012-06-01,163
"Quebec",2012-07-01,141
"Quebec",2012-08-01,148
"Quebec",2012-09-01,190
"Quebec",2012-10-01,147
"Quebec",2012-11-01,175
"Quebec",2012-12-01,166
"Quebec",2013-01-01,150
"Quebec",2013-02-01,214
"Quebec",2013-03-01,181
"Quebec",2013-04-01,190
"Quebec",2013-05-01,209
"Quebec",2013-06-01,165
"Quebec",2013-07-01,176
"Quebec",2013-08-01,154
"Quebec",2013-09-01,177
"Quebec",2013-10-01,199
"Quebec",2013-11-01,172
"Quebec",2013-12-01,193
"Quebec",2014-01-01,165
"Quebec",2014-02-01,205
"Quebec",2014-03-01,195
"Quebec",2014-04-01,237
"Quebec",2014-05-01,198
"Quebec",2014-06-01,166
"Quebec",2014-07-01,168
"Quebec",2014-08-01,160
"Quebec",2014-09-01,188
"Quebec",2014-10-01,226
"Quebec",2014-11-01,208
"Quebec",2014-12-01,221
"Quebec",2015-01-01,185
"Quebec",2015-02-01,197
"Quebec",2015-03-01,240
"Quebec",2015-04-01,209
"Quebec",2015-05-01,164
"Quebec",2015-06-01,190
"Quebec",2015-07-01,160
"Quebec",2015-08-01,129
"Quebec",2015-09-01,182
"Quebec",2015-10-01,184
"Quebec",2015-11-01,193
"Quebec",2015-12-01,204
"Quebec",2016-01-01,167
"Quebec",2016-02-01,237
"Quebec",2016-03-01,225
"Quebec",2016-04-01,202
"Quebec",2016-05-01,180
"Quebec",2016-06-01,183
"Quebec",2016-07-01,137
"Quebec",2016-08-01,173
"Quebec",2016-09-01,167
"Quebec",2016-10-01,162
"Quebec",2016-11-01,202
"Quebec",2016-12-01,162
"Quebec",2017-01-01,131
"Quebec",2017-02-01,197
"Quebec",2017-03-01,217
"Quebec",2017-04-01,171
"Quebec",2017-05-01,192
"Quebec",2017-06-01,182
"Quebec",2017-07-01,131
"Quebec",2017-08-01,150
"Quebec",2017-09-01,159
"Quebec",2017-10-01,188
"Quebec",2017-11-01,178
"Quebec",2017-12-01,165
"Quebec",2018-01-01,161
"Quebec",2018-02-01,203
"Quebec",2018-03-01,194
"Quebec",2018-04-01,168
"Quebec",2018-05-01,191
"Quebec",2018-06-01,154
"Quebec",2018-07-01,143
"Quebec",2018-08-01,158
"Quebec",2018-09-01,174
"Quebec",2018-10-01,176
"Quebec",2018-11-01,190
"Quebec",2018-12-01,183
"Quebec",2019-01-01,156
"Quebec",2019-02-01,206
"Quebec",2019-03-01,212
"Quebec",2019-04-01,219
"Quebec",2019-05-01,177
"Quebec",2019-06-01,167
"Quebec",2019-07-01,179
"Quebec",2019-08-01,128
"Quebec",2019-09-01,138
"Quebec",2019-10-01,185
"Quebec",2019-11-01,177
"Quebec",2019-12-01,182
"Quebec",2020-01-01,187
"Quebec",2020-02-01,192
"Quebec",2020-03-01,147
"Quebec",2020-04-01,80
"Quebec",2020-05-01,93
"Quebec",2020-06-01,149
"Quebec",2020-07-01,128
"Quebec",2020-08-01,101
"Quebec",2020-09-01,139
"Quebec",2020-10-01,133
"Quebec",2020-11-01,115
"Quebec",2020-12-01,135
"Quebec",2021-01-01,91
"Quebec",2021-02-01,133
"Quebec",2021-03-01,159
"Quebec",2021-04-01,118
"Quebec",2021-05-01,114
"Quebec",2021-06-01,145
"Quebec",2021-07-01,87
"Quebec",2021-08-01,89
"Quebec",2021-09-01,119
"Quebec",2021-10-01,149
"Quebec",2021-11-01,159
"Quebec",2021-12-01,167
"Quebec",2022-01-01,134
"Quebec",2022-02-01,148
"Quebec",2022-03-01,184
"Quebec",2022-04-01,158
"Quebec",2022-05-01,144
"Quebec",2022-06-01,175
"Quebec",2022-07-01,129
"Quebec",2022-08-01,157
"Quebec",2022-09-01,143
"Quebec",2022-10-01,178
"Quebec",2022-11-01,209
"Quebec",2022-12-01,186
"Quebec",2023-01-01,189
"Quebec",2023-02-01,180
"Quebec",2023-03-01,263
"Quebec",2023-04-01,207
"Quebec",2023-05-01,226
"Quebec",2023-06-01,209
"Quebec",2023-07-01,182
"Quebec",2023-08-01,225
"Quebec",2023-09-01,245
"Quebec",2023-10-01,308
"Quebec",2023-11-01,273
"Quebec",2023-12-01,305
"Quebec",2024-01-01,398
"Quebec",2024-02-01,410
"Quebec",2024-03-01,317
"Quebec",2024-04-01,337
"Quebec",2024-05-01,325
"Quebec",2024-06-01,256
"Quebec",2024-07-01,250
"Quebec",2024-08-01,220
"Quebec",2024-09-01,259
"Quebec",2024-10-01,248
"Quebec",2024-11-01,245
"Quebec",2024-12-01,200
"Quebec",2025-01-01,221
"Quebec",2025-02-01,265
"Quebec",2025-03-01,235
"Quebec",2025-04-01,250
"Quebec",2025-05-01,236
"Ontario",2000-01-01,238
"Ontario",2000-02-01,307
"Ontario",2000-03-01,331
"Ontario",2000-04-01,257
"Ontario",2000-05-01,313
"Ontario",2000-06-01,316
"Ontario",2000-07-01,278
"Ontario",2000-08-01,269
"Ontario",2000-09-01,290
"Ontario",2000-10-01,301
"Ontario",2000-11-01,318
"Ontario",2000-12-01,250
"Ontario",2001-01-01,313
