"","Dimension_Name","Dimension_Category","Tab","Measure","Year","Value"
"353","Newfoundland and Labrador","Geography","Water Use","Water use (Cubic meters), by geography","2013","NA"
"354","Newfoundland and Labrador","Geography","Water Use","Water use (Cubic meters), by geography","2014","NA"
"355","Newfoundland and Labrador","Geography","Water Use","Water use (Cubic meters), by geography","2015","NA"
"356","Newfoundland and Labrador","Geography","Water Use","Water use (Cubic meters), by geography","2016","NA"
"357","Newfoundland and Labrador","Geography","Water Use","Water use (Cubic meters), by geography","2017","NA"
"358","Newfoundland and Labrador","Geography","Water Use","Water use (Cubic meters), by geography","2018","NA"
"359","Newfoundland and Labrador","Geography","Water Use","Water use (Cubic meters), by geography","2019","NA"
"360","Newfoundland and Labrador","Geography","Water Use","Water use (Cubic meters), by geography","2020","NA"
"361","Prince Edward Island","Geography","Water Use","Water use (Cubic meters), by geography","2009","NA"
"362","Prince Edward Island","Geography","Water Use","Water use (Cubic meters), by geography","2010","NA"
"363","Prince Edward Island","Geography","Water Use","Water use (Cubic meters), by geography","2011","NA"
"364","Prince Edward Island","Geography","Water Use","Water use (Cubic meters), by geography","2012","NA"
"365","Prince Edward Island","Geography","Water Use","Water use (Cubic meters), by geography","2013","NA"
"366","Prince Edward Island","Geography","Water Use","Water use (Cubic meters), by geography","2014","NA"
"367","Prince Edward Island","Geography","Water Use","Water use (Cubic meters), by geography","2015","NA"
"368","Prince Edward Island","Geography","Water Use","Water use (Cubic meters), by geography","2016","NA"
"369","Prince Edward Island","Geography","Water Use","Water use (Cubic meters), by geography","2017","NA"
"370","Prince Edward Island","Geography","Water Use","Water use (Cubic meters), by geography","2018","NA"
"371","Prince Edward Island","Geography","Water Use","Water use (Cubic meters), by geography","2019","NA"
"372","Prince Edward Island","Geography","Water Use","Water use (Cubic meters), by geography","2020","NA"
"373","Nova Scotia","Geography","Water Use","Water use (Cubic meters), by geography","2009","NA"
"374","Nova Scotia","Geography","Water Use","Water use (Cubic meters), by geography","2010","NA"
"375","Nova Scotia","Geography","Water Use","Water use (Cubic meters), by geography","2011","NA"
"376","Nova Scotia","Geography","Water Use","Water use (Cubic meters), by geography","2012","NA"
"377","Nova Scotia","Geography","Water Use","Water use (Cubic meters), by geography","2013","NA"
"378","Nova Scotia","Geography","Water Use","Water use (Cubic meters), by geography","2014","NA"
"379","Nova Scotia","Geography","Water Use","Water use (Cubic meters), by geography","2015","NA"
"380","Nova Scotia","Geography","Water Use","Water use (Cubic meters), by geography","2016","NA"
"381","Nova Scotia","Geography","Water Use","Water use (Cubic meters), by geography","2017","NA"
"382","Nova Scotia","Geography","Water Use","Water use (Cubic meters), by geography","2018","NA"
"383","Nova Scotia","Geography","Water Use","Water use (Cubic meters), by geography","2019","NA"
"384","Nova Scotia","Geography","Water Use","Water use (Cubic meters), by geography","2020","NA"
"385","New Brunswick","Geography","Water Use","Water use (Cubic meters), by geography","2009","NA"
"386","New Brunswick","Geography","Water Use","Water use (Cubic meters), by geography","2010","NA"
"387","New Brunswick","Geography","Water Use","Water use (Cubic meters), by geography","2011","NA"
"388","New Brunswick","Geography","Water Use","Water use (Cubic meters), by geography","2012","NA"
"389","New Brunswick","Geography","Water Use","Water use (Cubic meters), by geography","2013","NA"
"390","New Brunswick","Geography","Water Use","Water use (Cubic meters), by geography","2014","NA"
"391","New Brunswick","Geography","Water Use","Water use (Cubic meters), by geography","2015","NA"
"392","New Brunswick","Geography","Water Use","Water use (Cubic meters), by geography","2016","NA"
"393","New Brunswick","Geography","Water Use","Water use (Cubic meters), by geography","2017","NA"
"394","New Brunswick","Geography","Water Use","Water use (Cubic meters), by geography","2018","NA"
"395","New Brunswick","Geography","Water Use","Water use (Cubic meters), by geography","2019","NA"
"396","New Brunswick","Geography","Water Use","Water use (Cubic meters), by geography","2020","NA"
"397","Quebec","Geography","Water Use","Water use (Cubic meters), by geography","2009","NA"
"398","Quebec","Geography","Water Use","Water use (Cubic meters), by geography","2010","NA"
"399","Quebec","Geography","Water Use","Water use (Cubic meters), by geography","2011","NA"
"400","Quebec","Geography","Water Use","Water use (Cubic meters), by geography","2012","NA"
"401","Quebec","Geography","Water Use","Water use (Cubic meters), by geography","2013","NA"
"402","Quebec","Geography","Water Use","Water use (Cubic meters), by geography","2014","NA"
"403","Quebec","Geography","Water Use","Water use (Cubic meters), by geography","2015","NA"
"404","Quebec","Geography","Water Use","Water use (Cubic meters), by geography","2016","NA"
"405","Quebec","Geography","Water Use","Water use (Cubic meters), by geography","2017","NA"
"406","Quebec","Geography","Water Use","Water use (Cubic meters), by geography","2018","NA"
"407","Quebec","Geography","Water Use","Water use (Cubic meters), by geography","2019","NA"
"408","Quebec","Geography","Water Use","Water use (Cubic meters), by geography","2020","NA"
"409","Ontario","Geography","Water Use","Water use (Cubic meters), by geography","2009","NA"
"410","Ontario","Geography","Water Use","Water use (Cubic meters), by geography","2010","NA"
"411","Ontario","Geography","Water Use","Water use (Cubic meters), by geography","2011","NA"
"412","Ontario","Geography","Water Use","Water use (Cubic meters), by geography","2012","NA"
"413","Ontario","Geography","Water Use","Water use (Cubic meters), by geography","2013","NA"
"414","Ontario","Geography","Water Use","Water use (Cubic meters), by geography","2014","NA"
"415","Ontario","Geography","Water Use","Water use (Cubic meters), by geography","2015","NA"
"416","Ontario","Geography","Water Use","Water use (Cubic meters), by geography","2016","NA"
"417","Ontario","Geography","Water Use","Water use (Cubic meters), by geography","2017","NA"
"418","Ontario","Geography","Water Use","Water use (Cubic meters), by geography","2018","NA"
"419","Ontario","Geography","Water Use","Water use (Cubic meters), by geography","2019","NA"
"420","Ontario","Geography","Water Use","Water use (Cubic meters), by geography","2020","NA"
"421","Manitoba","Geography","Water Use","Water use (Cubic meters), by geography","2009","NA"
"422","Manitoba","Geography","Water Use","Water use (Cubic meters), by geography","2010","NA"
"423","Manitoba","Geography","Water Use","Water use (Cubic meters), by geography","2011","NA"
"424","Manitoba","Geography","Water Use","Water use (Cubic meters), by geography","2012","NA"
"425","Manitoba","Geography","Water Use","Water use (Cubic meters), by geography","2013","NA"
"426","Manitoba","Geography","Water Use","Water use (Cubic meters), by geography","2014","NA"
"427","Manitoba","Geography","Water Use","Water use (Cubic meters), by geography","2015","NA"
"428","Manitoba","Geography","Water Use","Water use (Cubic meters), by geography","2016","NA"
"429","Manitoba","Geography","Water Use","Water use (Cubic meters), by geography","2017","NA"
"430","Manitoba","Geography","Water Use","Water use (Cubic meters), by geography","2018","NA"
"431","Manitoba","Geography","Water Use","Water use (Cubic meters), by geography","2019","NA"
"432","Manitoba","Geography","Water Use","Water use (Cubic meters), by geography","2020","NA"
"433","Saskatchewan","Geography","Water Use","Water use (Cubic meters), by geography","2009","NA"
"434","Saskatchewan","Geography","Water Use","Water use (Cubic meters), by geography","2010","NA"
"435","Saskatchewan","Geography","Water Use","Water use (Cubic meters), by geography","2011","NA"
"436","Saskatchewan","Geography","Water Use","Water use (Cubic meters), by geography","2012","NA"
"437","Saskatchewan","Geography","Water Use","Water use (Cubic meters), by geography","2013","NA"
"438","Saskatchewan","Geography","Water Use","Water use (Cubic meters), by geography","2014","NA"
"439","Saskatchewan","Geography","Water Use","Water use (Cubic meters), by geography","2015","NA"
"440","Saskatchewan","Geography","Water Use","Water use (Cubic meters), by geography","2016","NA"
"441","Saskatchewan","Geography","Water Use","Water use (Cubic meters), by geography","2017","NA"
"442","Saskatchewan","Geography","Water Use","Water use (Cubic meters), by geography","2018","NA"
"443","Saskatchewan","Geography","Water Use","Water use (Cubic meters), by geography","2019","NA"
"444","Saskatchewan","Geography","Water Use","Water use (Cubic meters), by geography","2020","NA"
"445","Alberta","Geography","Water Use","Water use (Cubic meters), by geography","2009","NA"
"446","Alberta","Geography","Water Use","Water use (Cubic meters), by geography","2010","NA"
"447","Alberta","Geography","Water Use","Water use (Cubic meters), by geography","2011","NA"
"448","Alberta","Geography","Water Use","Water use (Cubic meters), by geography","2012","NA"
"449","Alberta","Geography","Water Use","Water use (Cubic meters), by geography","2013","NA"
"450","Alberta","Geography","Water Use","Water use (Cubic meters), by geography","2014","NA"
"451","Alberta","Geography","Water Use","Water use (Cubic meters), by geography","2015","NA"
"452","Alberta","Geography","Water Use","Water use (Cubic meters), by geography","2016","NA"
"453","Alberta","Geography","Water Use","Water use (Cubic meters), by geography","2017","NA"
"454","Alberta","Geography","Water Use","Water use (Cubic meters), by geography","2018","NA"
"455","Alberta","Geography","Water Use","Water use (Cubic meters), by geography","2019","NA"
"456","Alberta","Geography","Water Use","Water use (Cubic meters), by geography","2020","NA"
"457","British Columbia","Geography","Water Use","Water use (Cubic meters), by geography","2009","NA"
"458","British Columbia","Geography","Water Use","Water use (Cubic meters), by geography","2010","NA"
"459","British Columbia","Geography","Water Use","Water use (Cubic meters), by geography","2011","NA"
"460","British Columbia","Geography","Water Use","Water use (Cubic meters), by geography","2012","NA"
"461","British Columbia","Geography","Water Use","Water use (Cubic meters), by geography","2013","NA"
"462","British Columbia","Geography","Water Use","Water use (Cubic meters), by geography","2014","NA"
"463","British Columbia","Geography","Water Use","Water use (Cubic meters), by geography","2015","NA"
"464","British Columbia","Geography","Water Use","Water use (Cubic meters), by geography","2016","NA"
"465","British Columbia","Geography","Water Use","Water use (Cubic meters), by geography","2017","NA"
"466","British Columbia","Geography","Water Use","Water use (Cubic meters), by geography","2018","NA"
"467","British Columbia","Geography","Water Use","Water use (Cubic meters), by geography","2019","NA"
"468","British Columbia","Geography","Water Use","Water use (Cubic meters), by geography","2020","NA"
"469","Yukon","Geography","Water Use","Water use (Cubic meters), by geography","2009","NA"
"470","Yukon","Geography","Water Use","Water use (Cubic meters), by geography","2010","NA"
"471","Yukon","Geography","Water Use","Water use (Cubic meters), by geography","2011","NA"
"472","Yukon","Geography","Water Use","Water use (Cubic meters), by geography","2012","NA"
"473","Yukon","Geography","Water Use","Water use (Cubic meters), by geography","2013","NA"
"474","Yukon","Geography","Water Use","Water use (Cubic meters), by geography","2014","NA"
"475","Yukon","Geography","Water Use","Water use (Cubic meters), by geography","2015","NA"
"476","Yukon","Geography","Water Use","Water use (Cubic meters), by geography","2016","NA"
"477","Yukon","Geography","Water Use","Water use (Cubic meters), by geography","2017","NA"
"478","Yukon","Geography","Water Use","Water use (Cubic meters), by geography","2018","NA"
"479","Yukon","Geography","Water Use","Water use (Cubic meters), by geography","2019","NA"
"480","Yukon","Geography","Water Use","Water use (Cubic meters), by geography","2020","NA"
"481","Northwest Territories","Geography","Water Use","Water use (Cubic meters), by geography","2009","NA"
"482","Northwest Territories","Geography","Water Use","Water use (Cubic meters), by geography","2010","NA"
"483","Northwest Territories","Geography","Water Use","Water use (Cubic meters), by geography","2011","NA"
"484","Northwest Territories","Geography","Water Use","Water use (Cubic meters), by geography","2012","NA"
"485","Northwest Territories","Geography","Water Use","Water use (Cubic meters), by geography","2013","NA"
"486","Northwest Territories","Geography","Water Use","Water use (Cubic meters), by geography","2014","NA"
"487","Northwest Territories","Geography","Water Use","Water use (Cubic meters), by geography","2015","NA"
"488","Northwest Territories","Geography","Water Use","Water use (Cubic meters), by geography","2016","NA"
"489","Northwest Territories","Geography","Water Use","Water use (Cubic meters), by geography","2017","NA"
"490","Northwest Territories","Geography","Water Use","Water use (Cubic meters), by geography","2018","NA"
"491","Northwest Territories","Geography","Water Use","Water use (Cubic meters), by geography","2019","NA"
"492","Northwest Territories","Geography","Water Use","Water use (Cubic meters), by geography","2020","NA"
"493","Nunavut","Geography","Water Use","Water use (Cubic meters), by geography","2009","NA"
"494","Nunavut","Geography","Water Use","Water use (Cubic meters), by geography","2010","NA"
"495","Nunavut","Geography","Water Use","Water use (Cubic meters), by geography","2011","NA"
"496","Nunavut","Geography","Water Use","Water use (Cubic meters), by geography","2012","NA"
"497","Nunavut","Geography","Water Use","Water use (Cubic meters), by geography","2013","NA"
"498","Nunavut","Geography","Water Use","Water use (Cubic meters), by geography","2014","NA"
"499","Nunavut","Geography","Water Use","Water use (Cubic meters), by geography","2015","NA"
"500","Nunavut","Geography","Water Use","Water use (Cubic meters), by geography","2016","NA"
"501","Nunavut","Geography","Water Use","Water use (Cubic meters), by geography","2017","NA"
"502","Nunavut","Geography","Water Use","Water use (Cubic meters), by geography","2018","NA"
"503","Nunavut","Geography","Water Use","Water use (Cubic meters), by geography","2019","NA"
"504","Nunavut","Geography","Water Use","Water use (Cubic meters), by geography","2020","NA"
"505","All industries","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2009","613955"
"506","All industries","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2010","629167"
"507","All industries","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2011","635845"
"508","All industries","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2012","640369"
"509","All industries","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2013","642982"
"510","All industries","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2014","646091"
"511","All industries","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2015","651501"
"512","All industries","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2016","627847"
"513","All industries","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2017","637788"
"514","All industries","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2018","647726"
"515","All industries","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2019","643907"
"516","All industries","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2020","578462"
"517","Agriculture","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2009","63412"
"518","Agriculture","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2010","64726"
"519","Agriculture","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2011","65902"
"520","Agriculture","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2012","67287"
"521","Agriculture","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2013","69450"
"522","Agriculture","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2014","68822"
"523","Agriculture","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2015","70485"
"524","Agriculture","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2016","70577"
"525","Agriculture","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2017","70992"
"526","Agriculture","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2018","72867"
"527","Agriculture","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2019","72185"
"528","Agriculture","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2020","73164"
"529","Construction","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2009","6685"
"530","Construction","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2010","7540"
"531","Construction","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2011","7407"
"532","Construction","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2012","7699"
"533","Construction","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2013","7271"
"534","Construction","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2014","7178"
"535","Construction","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2015","8303"
"536","Construction","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2016","9266"
"537","Construction","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2017","9896"
"538","Construction","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2018","9818"
"539","Construction","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2019","9850"
"540","Construction","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2020","8633"
"541","Forestry and logging","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2009","6018"
"542","Forestry and logging","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2010","7216"
"543","Forestry and logging","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2011","7113"
"544","Forestry and logging","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2012","7244"
"545","Forestry and logging","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2013","7420"
"546","Forestry and logging","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2014","6810"
"547","Forestry and logging","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2015","8240"
"548","Forestry and logging","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2016","7682"
"549","Forestry and logging","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2017","7327"
"550","Forestry and logging","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2018","7009"
"551","Forestry and logging","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2019","5650"
"552","Forestry and logging","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2020","5251"
"553","Manufacturing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2009","138544"
"554","Manufacturing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2010","142870"
"555","Manufacturing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2011","146281"
"556","Manufacturing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2012","145398"
"557","Manufacturing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2013","145914"
"558","Manufacturing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2014","147137"
"559","Manufacturing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2015","145929"
"560","Manufacturing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2016","143251"
"561","Manufacturing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2017","141302"
"562","Manufacturing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2018","143862"
"563","Manufacturing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2019","144767"
"564","Manufacturing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2020","132140"
"565","Mining and quarrying","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2009","7639"
"566","Mining and quarrying","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2010","8614"
"567","Mining and quarrying","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2011","9894"
"568","Mining and quarrying","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2012","10308"
"569","Mining and quarrying","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2013","10255"
"570","Mining and quarrying","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2014","9477"
"571","Mining and quarrying","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2015","9694"
"572","Mining and quarrying","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2016","9924"
"573","Mining and quarrying","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2017","10953"
"574","Mining and quarrying","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2018","12305"
"575","Mining and quarrying","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2019","13114"
"576","Mining and quarrying","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2020","12653"
"577","Oil and gas extraction and support activities","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2009","155239"
"578","Oil and gas extraction and support activities","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2010","161527"
"579","Oil and gas extraction and support activities","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2011","167444"
"580","Oil and gas extraction and support activities","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2012","174378"
"581","Oil and gas extraction and support activities","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2013","179128"
"582","Oil and gas extraction and support activities","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2014","185372"
"583","Oil and gas extraction and support activities","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2015","186982"
"584","Oil and gas extraction and support activities","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2016","173751"
"585","Oil and gas extraction and support activities","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2017","180611"
"586","Oil and gas extraction and support activities","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2018","187563"
"587","Oil and gas extraction and support activities","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2019","184280"
"588","Oil and gas extraction and support activities","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2020","163171"
"589","Transportation and warehousing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2009","59643"
"590","Transportation and warehousing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2010","62643"
"591","Transportation and warehousing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2011","63483"
"592","Transportation and warehousing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2012","67603"
"593","Transportation and warehousing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2013","66859"
"594","Transportation and warehousing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2014","68336"
"595","Transportation and warehousing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2015","67255"
"596","Transportation and warehousing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2016","63910"
"597","Transportation and warehousing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2017","66289"
"598","Transportation and warehousing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2018","69620"
"599","Transportation and warehousing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2019","69627"
"600","Transportation and warehousing","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2020","52066"
"601","Utilities","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2009","107073"
"602","Utilities","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2010","106376"
"603","Utilities","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2011","98254"
"604","Utilities","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2012","93681"
"605","Utilities","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2013","90143"
"606","Utilities","Industry","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by industry","2014","86880"
